train_task,test_task,acc
mixed,motor,0.635
mixed,mem,0.825
motor,mixed,0.5700000000000001
motor,mem,0.5349999999999999
mem,mixed,0.655
mem,motor,0.5449999999999999
mixed,motor,0.63
mixed,mem,0.635
motor,mixed,0.495
motor,mem,0.575
mem,mixed,0.5700000000000001
mem,motor,0.7899999999999999
mixed,motor,0.57
mixed,mem,0.565
motor,mixed,0.745
motor,mem,0.835
mem,mixed,0.8499999999999999
mem,motor,0.9
mixed,motor,0.575
mixed,mem,0.575
motor,mixed,0.71
motor,mem,0.755
mem,mixed,0.74
mem,motor,0.96
mixed,motor,0.9550000000000001
mixed,mem,0.9299999999999999
motor,mixed,0.56
motor,mem,0.5800000000000001
mem,mixed,0.5499999999999999
mem,motor,0.6850000000000002
mixed,motor,0.61
mixed,mem,0.6
motor,mixed,0.8800000000000002
motor,mem,0.67
mem,mixed,0.885
mem,motor,0.9
mixed,motor,0.865
mixed,mem,0.8699999999999999
motor,mixed,0.68
motor,mem,0.73
mem,mixed,0.8700000000000001
mem,motor,0.735
mixed,motor,0.6850000000000002
mixed,mem,0.745
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.96
mem,motor,0.9750000000000002
mixed,motor,0.72
mixed,mem,0.575
motor,mixed,0.685
motor,mem,0.5299999999999999
mem,mixed,0.6149999999999999
mem,motor,0.755
mixed,motor,0.89
mixed,mem,0.7350000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.9400000000000001
mem,motor,0.945
mixed,motor,0.6849999999999999
mixed,mem,0.6849999999999999
motor,mixed,0.5449999999999999
motor,mem,0.5
mem,mixed,0.7899999999999999
mem,motor,0.7899999999999999
mixed,motor,0.74
mixed,mem,0.8099999999999999
motor,mixed,0.6399999999999999
motor,mem,0.6250000000000001
mem,mixed,0.8950000000000001
mem,motor,0.8950000000000001
mixed,motor,0.595
mixed,mem,0.5599999999999999
motor,mixed,0.51
motor,mem,0.5
mem,mixed,0.82
mem,motor,0.8099999999999999
mixed,motor,0.6250000000000001
mixed,mem,0.635
motor,mixed,0.5
motor,mem,0.52
mem,mixed,0.78
mem,motor,0.7200000000000001
mixed,motor,0.5
mixed,mem,0.5549999999999999
motor,mixed,0.5399999999999999
motor,mem,0.6650000000000001
mem,mixed,0.8150000000000001
mem,motor,0.7899999999999999
mixed,motor,0.875
mixed,mem,0.78
motor,mixed,0.7250000000000001
motor,mem,0.75
mem,mixed,0.68
mem,motor,0.595
mixed,motor,0.65
mixed,mem,0.5249999999999999
motor,mixed,0.5499999999999999
motor,mem,0.51
mem,mixed,0.75
mem,motor,0.7050000000000001
mixed,motor,0.9200000000000002
mixed,mem,0.9299999999999999
motor,mixed,0.595
motor,mem,0.715
mem,mixed,0.5449999999999999
mem,motor,0.72
mixed,motor,0.55
mixed,mem,0.52
motor,mixed,0.5650000000000001
motor,mem,0.53
mem,mixed,0.5499999999999999
mem,motor,0.685
mixed,motor,0.5700000000000001
mixed,mem,0.575
motor,mixed,0.51
motor,mem,0.615
mem,mixed,0.54
mem,motor,0.69
mixed,motor,0.575
mixed,mem,0.5199999999999999
motor,mixed,0.5349999999999999
motor,mem,0.6099999999999999
mem,mixed,0.6500000000000001
mem,motor,0.575
mixed,motor,0.6900000000000001
mixed,mem,0.6900000000000001
motor,mixed,0.6200000000000001
motor,mem,0.8150000000000001
mem,mixed,0.8949999999999999
mem,motor,0.89
mixed,motor,0.7449999999999999
mixed,mem,0.9200000000000002
motor,mixed,0.625
motor,mem,0.6050000000000002
mem,mixed,0.63
mem,motor,0.505
mixed,motor,0.7000000000000001
mixed,mem,0.7050000000000001
motor,mixed,0.6299999999999999
motor,mem,0.7449999999999999
mem,mixed,0.5349999999999999
mem,motor,0.6700000000000002
mixed,motor,0.8699999999999999
mixed,mem,0.97
motor,mixed,0.5499999999999999
motor,mem,0.6649999999999999
mem,mixed,0.5
mem,motor,0.5900000000000001
mixed,motor,0.925
mixed,mem,0.925
motor,mixed,0.67
motor,mem,0.65
mem,mixed,0.7300000000000001
mem,motor,0.7649999999999999
mixed,motor,0.465
mixed,mem,0.515
motor,mixed,0.6100000000000001
motor,mem,0.5499999999999999
mem,mixed,0.755
mem,motor,0.7350000000000001
mixed,motor,0.805
mixed,mem,0.85
motor,mixed,0.655
motor,mem,0.6950000000000001
mem,mixed,0.8750000000000002
mem,motor,0.75
mixed,motor,0.6499999999999999
mixed,mem,0.705
motor,mixed,0.5
motor,mem,0.51
mem,mixed,0.5499999999999999
mem,motor,0.6250000000000001
mixed,motor,0.71
mixed,mem,0.735
motor,mixed,0.53
motor,mem,0.5399999999999999
mem,mixed,0.57
mem,motor,0.615
mixed,motor,0.675
mixed,mem,0.445
motor,mixed,0.575
motor,mem,0.525
mem,mixed,0.74
mem,motor,0.735
mixed,motor,0.7649999999999999
mixed,mem,0.6950000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.675
mem,motor,0.67
mixed,motor,0.8049999999999999
mixed,mem,0.93
motor,mixed,0.62
motor,mem,0.7050000000000001
mem,mixed,0.705
mem,motor,0.7000000000000001
mixed,motor,0.7649999999999999
mixed,mem,0.78
motor,mixed,0.5849999999999999
motor,mem,0.5849999999999999
mem,mixed,0.68
mem,motor,0.565
mixed,motor,0.68
mixed,mem,0.6100000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.595
mem,motor,0.5399999999999999
mixed,motor,0.595
mixed,mem,0.51
motor,mixed,0.7749999999999999
motor,mem,0.9
mem,mixed,0.7699999999999999
mem,motor,0.865
mixed,motor,0.575
mixed,mem,0.5449999999999999
