,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.725
1,MSC01,MSC02,motor,0.635
2,MSC01,MSC02,mem,0.695
3,MSC01,MSC03,mixed,0.605
4,MSC01,MSC03,motor,0.8299999999999998
5,MSC01,MSC03,mem,0.9400000000000001
6,MSC01,MSC04,mixed,0.8200000000000001
7,MSC01,MSC04,motor,0.9000000000000001
8,MSC01,MSC04,mem,0.9400000000000001
9,MSC01,MSC05,mixed,0.74
10,MSC01,MSC05,motor,0.9550000000000001
11,MSC01,MSC05,mem,0.8950000000000001
12,MSC01,MSC06,mixed,0.645
13,MSC01,MSC06,motor,0.8800000000000001
14,MSC01,MSC06,mem,0.57
15,MSC01,MSC07,mixed,0.9600000000000002
16,MSC01,MSC07,motor,0.9549999999999998
17,MSC01,MSC07,mem,0.9
18,MSC01,MSC10,mixed,0.8099999999999999
19,MSC01,MSC10,motor,0.8499999999999999
20,MSC01,MSC10,mem,0.79
21,MSC02,MSC01,mixed,0.78
22,MSC02,MSC01,motor,0.6849999999999999
23,MSC02,MSC01,mem,0.975
24,MSC02,MSC03,mixed,0.63
25,MSC02,MSC03,motor,0.6950000000000001
26,MSC02,MSC03,mem,0.9049999999999999
27,MSC02,MSC04,mixed,0.715
28,MSC02,MSC04,motor,0.99
29,MSC02,MSC04,mem,0.9949999999999999
30,MSC02,MSC05,mixed,0.4750000000000001
31,MSC02,MSC05,motor,0.9800000000000001
32,MSC02,MSC05,mem,0.9100000000000001
33,MSC02,MSC06,mixed,0.7100000000000001
34,MSC02,MSC06,motor,0.7
35,MSC02,MSC06,mem,0.9200000000000002
36,MSC02,MSC07,mixed,0.5799999999999998
37,MSC02,MSC07,motor,0.95
38,MSC02,MSC07,mem,0.925
39,MSC02,MSC10,mixed,0.655
40,MSC02,MSC10,motor,0.755
41,MSC02,MSC10,mem,0.7899999999999999
42,MSC03,MSC01,mixed,0.5999999999999999
43,MSC03,MSC01,motor,0.9200000000000002
44,MSC03,MSC01,mem,0.8600000000000001
45,MSC03,MSC02,mixed,0.58
46,MSC03,MSC02,motor,0.8800000000000001
47,MSC03,MSC02,mem,0.8750000000000002
48,MSC03,MSC04,mixed,0.72
49,MSC03,MSC04,motor,0.875
50,MSC03,MSC04,mem,0.9100000000000001
51,MSC03,MSC05,mixed,0.9349999999999999
52,MSC03,MSC05,motor,0.9700000000000001
53,MSC03,MSC05,mem,0.985
54,MSC03,MSC06,mixed,0.6799999999999999
55,MSC03,MSC06,motor,0.8650000000000002
56,MSC03,MSC06,mem,0.8049999999999999
57,MSC03,MSC07,mixed,0.67
58,MSC03,MSC07,motor,0.9000000000000001
59,MSC03,MSC07,mem,0.9000000000000001
60,MSC03,MSC10,mixed,0.5199999999999999
61,MSC03,MSC10,motor,0.8099999999999999
62,MSC03,MSC10,mem,0.9
63,MSC04,MSC01,mixed,0.885
64,MSC04,MSC01,motor,1.0
65,MSC04,MSC01,mem,0.975
66,MSC04,MSC02,mixed,0.78
67,MSC04,MSC02,motor,0.915
68,MSC04,MSC02,mem,0.745
69,MSC04,MSC03,mixed,0.6099999999999999
70,MSC04,MSC03,motor,0.9100000000000001
71,MSC04,MSC03,mem,0.945
72,MSC04,MSC05,mixed,0.7
73,MSC04,MSC05,motor,0.93
74,MSC04,MSC05,mem,0.6950000000000001
75,MSC04,MSC06,mixed,0.9400000000000001
76,MSC04,MSC06,motor,0.845
77,MSC04,MSC06,mem,0.925
78,MSC04,MSC07,mixed,0.645
79,MSC04,MSC07,motor,0.9199999999999999
80,MSC04,MSC07,mem,0.8800000000000001
81,MSC04,MSC10,mixed,0.885
