,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.5750000000000001
1,mixed,mem,MSC01,MSC02,0.805
2,motor,mixed,MSC01,MSC02,0.62
3,motor,mem,MSC01,MSC02,0.595
4,mem,mixed,MSC01,MSC02,0.685
5,mem,motor,MSC01,MSC02,0.5449999999999999
6,mixed,motor,MSC01,MSC03,0.6349999999999999
7,mixed,mem,MSC01,MSC03,0.6449999999999999
8,motor,mixed,MSC01,MSC03,0.5050000000000001
9,motor,mem,MSC01,MSC03,0.72
10,mem,mixed,MSC01,MSC03,0.5599999999999999
11,mem,motor,MSC01,MSC03,0.775
12,mixed,motor,MSC01,MSC04,0.595
13,mixed,mem,MSC01,MSC04,0.59
14,motor,mixed,MSC01,MSC04,0.745
15,motor,mem,MSC01,MSC04,0.865
16,mem,mixed,MSC01,MSC04,0.8499999999999999
17,mem,motor,MSC01,MSC04,0.8699999999999999
18,mixed,motor,MSC01,MSC05,0.595
19,mixed,mem,MSC01,MSC05,0.585
20,motor,mixed,MSC01,MSC05,0.715
21,motor,mem,MSC01,MSC05,0.76
22,mem,mixed,MSC01,MSC05,0.72
23,mem,motor,MSC01,MSC05,0.8950000000000001
24,mixed,motor,MSC01,MSC06,0.925
25,mixed,mem,MSC01,MSC06,0.9099999999999999
26,motor,mixed,MSC01,MSC06,0.595
27,motor,mem,MSC01,MSC06,0.6399999999999999
28,mem,mixed,MSC01,MSC06,0.5499999999999999
29,mem,motor,MSC01,MSC06,0.6950000000000001
30,mixed,motor,MSC01,MSC07,0.6399999999999999
31,mixed,mem,MSC01,MSC07,0.63
32,motor,mixed,MSC01,MSC07,0.9000000000000001
33,motor,mem,MSC01,MSC07,0.73
34,mem,mixed,MSC01,MSC07,0.85
35,mem,motor,MSC01,MSC07,0.89
36,mixed,motor,MSC01,MSC10,0.825
37,mixed,mem,MSC01,MSC10,0.825
38,motor,mixed,MSC01,MSC10,0.7300000000000001
39,motor,mem,MSC01,MSC10,0.76
40,mem,mixed,MSC01,MSC10,0.8950000000000001
41,mem,motor,MSC01,MSC10,0.755
42,mixed,motor,MSC02,MSC01,0.69
43,mixed,mem,MSC02,MSC01,0.72
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.9349999999999999
47,mem,motor,MSC02,MSC01,0.95
48,mixed,motor,MSC02,MSC03,0.7
49,mixed,mem,MSC02,MSC03,0.6050000000000001
50,motor,mixed,MSC02,MSC03,0.515
51,motor,mem,MSC02,MSC03,0.495
52,mem,mixed,MSC02,MSC03,0.6399999999999999
53,mem,motor,MSC02,MSC03,0.74
54,mixed,motor,MSC02,MSC04,0.915
55,mixed,mem,MSC02,MSC04,0.7450000000000001
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.9149999999999998
59,mem,motor,MSC02,MSC04,0.9199999999999999
60,mixed,motor,MSC02,MSC05,0.72
61,mixed,mem,MSC02,MSC05,0.72
62,motor,mixed,MSC02,MSC05,0.5449999999999999
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.7350000000000001
65,mem,motor,MSC02,MSC05,0.7350000000000001
66,mixed,motor,MSC02,MSC06,0.79
67,mixed,mem,MSC02,MSC06,0.8550000000000001
68,motor,mixed,MSC02,MSC06,0.605
69,motor,mem,MSC02,MSC06,0.585
70,mem,mixed,MSC02,MSC06,0.89
71,mem,motor,MSC02,MSC06,0.9099999999999999
72,mixed,motor,MSC02,MSC07,0.61
73,mixed,mem,MSC02,MSC07,0.59
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.755
77,mem,motor,MSC02,MSC07,0.755
78,mixed,motor,MSC02,MSC10,0.64
79,mixed,mem,MSC02,MSC10,0.67
80,motor,mixed,MSC02,MSC10,0.5
81,motor,mem,MSC02,MSC10,0.5
82,mem,mixed,MSC02,MSC10,0.865
83,mem,motor,MSC02,MSC10,0.76
84,mixed,motor,MSC03,MSC01,0.5
85,mixed,mem,MSC03,MSC01,0.525
86,motor,mixed,MSC03,MSC01,0.5499999999999999
87,motor,mem,MSC03,MSC01,0.6700000000000002
88,mem,mixed,MSC03,MSC01,0.6399999999999999
89,mem,motor,MSC03,MSC01,0.6399999999999999
90,mixed,motor,MSC03,MSC02,0.925
91,mixed,mem,MSC03,MSC02,0.6950000000000001
92,motor,mixed,MSC03,MSC02,0.7100000000000001
93,motor,mem,MSC03,MSC02,0.7300000000000001
94,mem,mixed,MSC03,MSC02,0.575
95,mem,motor,MSC03,MSC02,0.42000000000000004
96,mixed,motor,MSC03,MSC04,0.64
97,mixed,mem,MSC03,MSC04,0.5149999999999999
98,motor,mixed,MSC03,MSC04,0.5499999999999999
99,motor,mem,MSC03,MSC04,0.51
100,mem,mixed,MSC03,MSC04,0.7899999999999999
101,mem,motor,MSC03,MSC04,0.74
102,mixed,motor,MSC03,MSC05,0.925
103,mixed,mem,MSC03,MSC05,0.8700000000000001
104,motor,mixed,MSC03,MSC05,0.61
105,motor,mem,MSC03,MSC05,0.72
106,mem,mixed,MSC03,MSC05,0.68
107,mem,motor,MSC03,MSC05,0.78
108,mixed,motor,MSC03,MSC06,0.55
109,mixed,mem,MSC03,MSC06,0.505
110,motor,mixed,MSC03,MSC06,0.5399999999999999
111,motor,mem,MSC03,MSC06,0.505
112,mem,mixed,MSC03,MSC06,0.63
113,mem,motor,MSC03,MSC06,0.7000000000000001
114,mixed,motor,MSC03,MSC07,0.5549999999999999
115,mixed,mem,MSC03,MSC07,0.5899999999999999
116,motor,mixed,MSC03,MSC07,0.5
117,motor,mem,MSC03,MSC07,0.6100000000000001
118,mem,mixed,MSC03,MSC07,0.8249999999999998
119,mem,motor,MSC03,MSC07,0.8650000000000002
120,mixed,motor,MSC03,MSC10,0.5549999999999999
121,mixed,mem,MSC03,MSC10,0.505
122,motor,mixed,MSC03,MSC10,0.5149999999999999
123,motor,mem,MSC03,MSC10,0.62
124,mem,mixed,MSC03,MSC10,0.8549999999999999
125,mem,motor,MSC03,MSC10,0.75
126,mixed,motor,MSC04,MSC01,0.6599999999999999
127,mixed,mem,MSC04,MSC01,0.6599999999999999
128,motor,mixed,MSC04,MSC01,0.69
129,motor,mem,MSC04,MSC01,0.89
130,mem,mixed,MSC04,MSC01,0.9199999999999999
131,mem,motor,MSC04,MSC01,0.9149999999999998
132,mixed,motor,MSC04,MSC02,0.6950000000000001
133,mixed,mem,MSC04,MSC02,0.8950000000000001
134,motor,mixed,MSC04,MSC02,0.6849999999999999
135,motor,mem,MSC04,MSC02,0.685
136,mem,mixed,MSC04,MSC02,0.665
137,mem,motor,MSC04,MSC02,0.5149999999999999
138,mixed,motor,MSC04,MSC03,0.7150000000000001
139,mixed,mem,MSC04,MSC03,0.72
140,motor,mixed,MSC04,MSC03,0.645
