,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.755
1,MSC01,MSC02,motor,0.6100000000000001
2,MSC01,MSC02,mem,0.89
3,MSC01,MSC03,mixed,0.55
4,MSC01,MSC03,motor,0.845
5,MSC01,MSC03,mem,0.9049999999999999
6,MSC01,MSC04,mixed,0.595
7,MSC01,MSC04,motor,0.885
8,MSC01,MSC04,mem,0.945
9,MSC01,MSC05,mixed,0.575
10,MSC01,MSC05,motor,0.96
11,MSC01,MSC05,mem,0.9500000000000002
12,MSC01,MSC06,mixed,0.7449999999999999
13,MSC01,MSC06,motor,0.93
14,MSC01,MSC06,mem,0.745
15,MSC01,MSC07,mixed,0.6399999999999999
16,MSC01,MSC07,motor,0.985
17,MSC01,MSC07,mem,0.865
18,MSC01,MSC10,mixed,0.805
19,MSC01,MSC10,motor,0.8499999999999999
20,MSC01,MSC10,mem,0.9349999999999999
21,MSC02,MSC01,mixed,0.6799999999999999
22,MSC02,MSC01,motor,0.5
23,MSC02,MSC01,mem,0.95
24,MSC02,MSC03,mixed,0.7150000000000001
25,MSC02,MSC03,motor,0.6700000000000002
26,MSC02,MSC03,mem,0.7999999999999999
27,MSC02,MSC04,mixed,0.86
28,MSC02,MSC04,motor,0.6450000000000001
29,MSC02,MSC04,mem,0.9550000000000001
30,MSC02,MSC05,mixed,0.6599999999999999
31,MSC02,MSC05,motor,0.6500000000000001
32,MSC02,MSC05,mem,0.7350000000000001
33,MSC02,MSC06,mixed,0.8800000000000001
34,MSC02,MSC06,motor,0.685
35,MSC02,MSC06,mem,0.9
36,MSC02,MSC07,mixed,0.645
37,MSC02,MSC07,motor,0.5
38,MSC02,MSC07,mem,0.755
39,MSC02,MSC10,mixed,0.655
40,MSC02,MSC10,motor,0.5
41,MSC02,MSC10,mem,0.925
42,MSC03,MSC01,mixed,0.5149999999999999
43,MSC03,MSC01,motor,0.8699999999999999
44,MSC03,MSC01,mem,0.6399999999999999
45,MSC03,MSC02,mixed,0.725
46,MSC03,MSC02,motor,0.9150000000000003
47,MSC03,MSC02,mem,0.77
48,MSC03,MSC04,mixed,0.5149999999999999
49,MSC03,MSC04,motor,0.85
50,MSC03,MSC04,mem,0.89
51,MSC03,MSC05,mixed,0.8600000000000001
52,MSC03,MSC05,motor,0.945
53,MSC03,MSC05,mem,0.95
54,MSC03,MSC06,mixed,0.53
55,MSC03,MSC06,motor,0.76
56,MSC03,MSC06,mem,0.7999999999999999
57,MSC03,MSC07,mixed,0.6049999999999999
58,MSC03,MSC07,motor,0.8600000000000001
59,MSC03,MSC07,mem,0.9000000000000001
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.755
62,MSC03,MSC10,mem,0.9200000000000002
63,MSC04,MSC01,mixed,0.6599999999999999
64,MSC04,MSC01,motor,0.9949999999999999
65,MSC04,MSC01,mem,0.9349999999999999
66,MSC04,MSC02,mixed,0.8099999999999999
67,MSC04,MSC02,motor,0.9349999999999999
