,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.735
1,MSC01,MSC02,motor,0.635
2,MSC01,MSC02,mem,0.8949999999999999
3,MSC01,MSC03,mixed,0.5549999999999999
4,MSC01,MSC03,motor,0.835
5,MSC01,MSC03,mem,0.905
6,MSC01,MSC04,mixed,0.5499999999999999
7,MSC01,MSC04,motor,0.9349999999999999
8,MSC01,MSC04,mem,0.9199999999999999
9,MSC01,MSC05,mixed,0.565
10,MSC01,MSC05,motor,0.95
11,MSC01,MSC05,mem,0.97
12,MSC01,MSC06,mixed,0.8150000000000001
13,MSC01,MSC06,motor,0.8700000000000001
14,MSC01,MSC06,mem,0.785
15,MSC01,MSC07,mixed,0.5999999999999999
16,MSC01,MSC07,motor,0.95
17,MSC01,MSC07,mem,0.9000000000000001
18,MSC01,MSC10,mixed,0.8099999999999999
19,MSC01,MSC10,motor,0.8499999999999999
20,MSC01,MSC10,mem,0.9400000000000001
21,MSC02,MSC01,mixed,0.6649999999999999
22,MSC02,MSC01,motor,0.505
23,MSC02,MSC01,mem,0.9800000000000001
24,MSC02,MSC03,mixed,0.74
25,MSC02,MSC03,motor,0.7150000000000001
26,MSC02,MSC03,mem,0.82
27,MSC02,MSC04,mixed,0.845
28,MSC02,MSC04,motor,0.6900000000000001
29,MSC02,MSC04,mem,0.9949999999999999
30,MSC02,MSC05,mixed,0.6449999999999999
31,MSC02,MSC05,motor,0.655
32,MSC02,MSC05,mem,0.7949999999999999
33,MSC02,MSC06,mixed,0.845
34,MSC02,MSC06,motor,0.75
35,MSC02,MSC06,mem,0.9000000000000001
36,MSC02,MSC07,mixed,0.62
37,MSC02,MSC07,motor,0.5149999999999999
38,MSC02,MSC07,mem,0.8049999999999999
39,MSC02,MSC10,mixed,0.6200000000000001
40,MSC02,MSC10,motor,0.51
41,MSC02,MSC10,mem,0.8900000000000002
42,MSC03,MSC01,mixed,0.5299999999999999
43,MSC03,MSC01,motor,0.8299999999999998
44,MSC03,MSC01,mem,0.625
45,MSC03,MSC02,mixed,0.745
46,MSC03,MSC02,motor,0.915
47,MSC03,MSC02,mem,0.655
48,MSC03,MSC04,mixed,0.5149999999999999
49,MSC03,MSC04,motor,0.7799999999999999
50,MSC03,MSC04,mem,0.905
51,MSC03,MSC05,mixed,0.865
52,MSC03,MSC05,motor,0.9400000000000001
53,MSC03,MSC05,mem,0.96
54,MSC03,MSC06,mixed,0.53
55,MSC03,MSC06,motor,0.8550000000000001
56,MSC03,MSC06,mem,0.8549999999999999
57,MSC03,MSC07,mixed,0.5700000000000001
58,MSC03,MSC07,motor,0.8650000000000002
59,MSC03,MSC07,mem,0.78
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.7100000000000001
62,MSC03,MSC10,mem,0.9000000000000001
63,MSC04,MSC01,mixed,0.675
64,MSC04,MSC01,motor,0.9949999999999999
65,MSC04,MSC01,mem,0.96
66,MSC04,MSC02,mixed,0.8700000000000001
67,MSC04,MSC02,motor,0.925
68,MSC04,MSC02,mem,0.86
69,MSC04,MSC03,mixed,0.655
70,MSC04,MSC03,motor,0.9200000000000002
71,MSC04,MSC03,mem,0.8399999999999999
72,MSC04,MSC05,mixed,0.8399999999999999
73,MSC04,MSC05,motor,0.925
74,MSC04,MSC05,mem,0.8099999999999999
75,MSC04,MSC06,mixed,0.925
76,MSC04,MSC06,motor,0.8499999999999999
77,MSC04,MSC06,mem,0.9349999999999999
78,MSC04,MSC07,mixed,0.51
79,MSC04,MSC07,motor,0.9099999999999999
80,MSC04,MSC07,mem,0.845
81,MSC04,MSC10,mixed,0.8700000000000001
82,MSC04,MSC10,motor,0.8299999999999998
83,MSC04,MSC10,mem,0.9299999999999999
84,MSC05,MSC01,mixed,0.6950000000000001
85,MSC05,MSC01,motor,0.5849999999999999
86,MSC05,MSC01,mem,0.6650000000000001
87,MSC05,MSC02,mixed,0.5800000000000001
88,MSC05,MSC02,motor,0.86
89,MSC05,MSC02,mem,0.7949999999999999
90,MSC05,MSC03,mixed,0.7450000000000001
91,MSC05,MSC03,motor,0.6799999999999999
92,MSC05,MSC03,mem,0.6500000000000001
93,MSC05,MSC04,mixed,0.8049999999999999
94,MSC05,MSC04,motor,0.63
95,MSC05,MSC04,mem,0.6650000000000001
96,MSC05,MSC06,mixed,0.845
97,MSC05,MSC06,motor,0.7100000000000001
98,MSC05,MSC06,mem,0.8549999999999999
99,MSC05,MSC07,mixed,0.82
100,MSC05,MSC07,motor,0.5499999999999999
101,MSC05,MSC07,mem,0.7749999999999999
102,MSC05,MSC10,mixed,0.6199999999999999
103,MSC05,MSC10,motor,0.5
104,MSC05,MSC10,mem,0.615
105,MSC06,MSC01,mixed,0.505
106,MSC06,MSC01,motor,0.8850000000000001
107,MSC06,MSC01,mem,0.9600000000000002
108,MSC06,MSC02,mixed,0.55
109,MSC06,MSC02,motor,0.445
110,MSC06,MSC02,mem,0.8099999999999999
111,MSC06,MSC03,mixed,0.5399999999999999
112,MSC06,MSC03,motor,0.5499999999999999
113,MSC06,MSC03,mem,0.7649999999999999
114,MSC06,MSC04,mixed,0.705
115,MSC06,MSC04,motor,0.59
116,MSC06,MSC04,mem,0.9549999999999998
117,MSC06,MSC05,mixed,0.605
118,MSC06,MSC05,motor,0.9800000000000001
119,MSC06,MSC05,mem,0.9550000000000001
120,MSC06,MSC07,mixed,0.67
121,MSC06,MSC07,motor,0.61
122,MSC06,MSC07,mem,0.85
123,MSC06,MSC10,mixed,0.6849999999999999
124,MSC06,MSC10,motor,0.705
125,MSC06,MSC10,mem,0.9199999999999999
126,MSC07,MSC01,mixed,0.885
127,MSC07,MSC01,motor,0.8850000000000001
128,MSC07,MSC01,mem,0.9949999999999999
129,MSC07,MSC02,mixed,0.5999999999999999
130,MSC07,MSC02,motor,0.6900000000000001
131,MSC07,MSC02,mem,0.9549999999999998
132,MSC07,MSC03,mixed,0.51
133,MSC07,MSC03,motor,0.735
134,MSC07,MSC03,mem,0.72
135,MSC07,MSC04,mixed,0.7849999999999999
136,MSC07,MSC04,motor,0.8149999999999998
137,MSC07,MSC04,mem,0.925
138,MSC07,MSC05,mixed,0.735
139,MSC07,MSC05,motor,0.7849999999999999
140,MSC07,MSC05,mem,0.9949999999999999
141,MSC07,MSC06,mixed,0.59
142,MSC07,MSC06,motor,0.9650000000000001
143,MSC07,MSC06,mem,0.96
144,MSC07,MSC10,mixed,0.64
145,MSC07,MSC10,motor,0.9399999999999998
146,MSC07,MSC10,mem,0.97
147,MSC10,MSC01,mixed,0.505
148,MSC10,MSC01,motor,0.9949999999999999
149,MSC10,MSC01,mem,0.825
150,MSC10,MSC02,mixed,0.7899999999999999
151,MSC10,MSC02,motor,0.825
152,MSC10,MSC02,mem,0.635
153,MSC10,MSC03,mixed,0.655
154,MSC10,MSC03,motor,0.95
155,MSC10,MSC03,mem,0.8399999999999999
156,MSC10,MSC04,mixed,0.8700000000000001
157,MSC10,MSC04,motor,0.925
158,MSC10,MSC04,mem,0.805
159,MSC10,MSC05,mixed,0.6500000000000001
160,MSC10,MSC05,motor,0.95
161,MSC10,MSC05,mem,0.8149999999999998
162,MSC10,MSC06,mixed,0.8099999999999999
163,MSC10,MSC06,motor,0.8750000000000002
164,MSC10,MSC06,mem,0.875
165,MSC10,MSC07,mixed,0.7999999999999999
166,MSC10,MSC07,motor,0.96
167,MSC10,MSC07,mem,0.875
