train_task,test_task,acc
mixed,motor,1.0
mixed,mem,0.9800000000000001
motor,mixed,0.8049999999999999
motor,mem,0.6550000000000001
mem,mixed,0.8949999999999999
mem,motor,0.97
mixed,motor,0.945
mixed,mem,0.8750000000000002
motor,mixed,0.53
motor,mem,0.5
mem,mixed,0.7749999999999999
mem,motor,0.635
mixed,motor,0.9199999999999999
mixed,mem,0.735
motor,mixed,0.49499999999999994
motor,mem,0.5199999999999999
mem,mixed,0.5449999999999999
mem,motor,0.8450000000000001
mixed,motor,0.945
mixed,mem,1.0
motor,mixed,0.68
motor,mem,0.685
mem,mixed,0.835
mem,motor,0.75
mixed,motor,0.95
mixed,mem,1.0
motor,mixed,0.5799999999999998
motor,mem,0.9450000000000001
mem,mixed,0.835
mem,motor,0.95
mixed,motor,0.925
mixed,mem,1.0
motor,mixed,0.705
motor,mem,0.8099999999999999
mem,mixed,0.845
mem,motor,0.9399999999999998
mixed,motor,0.9349999999999999
mixed,mem,0.8850000000000001
motor,mixed,0.605
motor,mem,0.5399999999999999
mem,mixed,0.86
mem,motor,0.7949999999999999
mixed,motor,0.865
mixed,mem,0.9949999999999999
motor,mixed,0.575
motor,mem,0.825
mem,mixed,0.8950000000000001
mem,motor,0.8649999999999999
