,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.5
1,mixed,mem,MSC01,MSC02,0.5
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.51
5,mem,motor,MSC01,MSC02,0.51
6,mixed,motor,MSC01,MSC03,0.5
7,mixed,mem,MSC01,MSC03,0.5
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.45
10,mem,mixed,MSC01,MSC03,0.53
11,mem,motor,MSC01,MSC03,0.58
12,mixed,motor,MSC01,MSC04,0.5
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.5
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.505
17,mem,motor,MSC01,MSC04,0.495
18,mixed,motor,MSC01,MSC05,0.5
19,mixed,mem,MSC01,MSC05,0.5
20,motor,mixed,MSC01,MSC05,0.52
21,motor,mem,MSC01,MSC05,0.52
22,mem,mixed,MSC01,MSC05,0.74
23,mem,motor,MSC01,MSC05,0.74
24,mixed,motor,MSC01,MSC06,0.5
25,mixed,mem,MSC01,MSC06,0.5
26,motor,mixed,MSC01,MSC06,0.51
27,motor,mem,MSC01,MSC06,0.51
28,mem,mixed,MSC01,MSC06,0.565
29,mem,motor,MSC01,MSC06,0.57
30,mixed,motor,MSC01,MSC07,0.5399999999999999
31,mixed,mem,MSC01,MSC07,0.5399999999999999
32,motor,mixed,MSC01,MSC07,0.745
33,motor,mem,MSC01,MSC07,0.745
34,mem,mixed,MSC01,MSC07,0.6599999999999999
35,mem,motor,MSC01,MSC07,0.585
36,mixed,motor,MSC01,MSC10,0.5
37,mixed,mem,MSC01,MSC10,0.5
38,motor,mixed,MSC01,MSC10,0.5
39,motor,mem,MSC01,MSC10,0.5
40,mem,mixed,MSC01,MSC10,0.725
41,mem,motor,MSC01,MSC10,0.7050000000000001
42,mixed,motor,MSC02,MSC01,0.595
43,mixed,mem,MSC02,MSC01,0.605
44,motor,mixed,MSC02,MSC01,0.5399999999999999
45,motor,mem,MSC02,MSC01,0.5499999999999999
46,mem,mixed,MSC02,MSC01,0.7649999999999999
47,mem,motor,MSC02,MSC01,0.805
48,mixed,motor,MSC02,MSC03,0.6450000000000001
49,mixed,mem,MSC02,MSC03,0.655
50,motor,mixed,MSC02,MSC03,0.585
51,motor,mem,MSC02,MSC03,0.6400000000000001
52,mem,mixed,MSC02,MSC03,0.645
53,mem,motor,MSC02,MSC03,0.66
54,mixed,motor,MSC02,MSC04,0.96
55,mixed,mem,MSC02,MSC04,0.8800000000000002
56,motor,mixed,MSC02,MSC04,0.505
57,motor,mem,MSC02,MSC04,0.6950000000000001
58,mem,mixed,MSC02,MSC04,0.885
59,mem,motor,MSC02,MSC04,0.96
60,mixed,motor,MSC02,MSC05,0.8399999999999999
61,mixed,mem,MSC02,MSC05,0.9850000000000001
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.9650000000000001
65,mem,motor,MSC02,MSC05,0.89
66,mixed,motor,MSC02,MSC06,0.7599999999999999
67,mixed,mem,MSC02,MSC06,0.8099999999999999
68,motor,mixed,MSC02,MSC06,0.605
69,motor,mem,MSC02,MSC06,0.5499999999999999
70,mem,mixed,MSC02,MSC06,0.865
71,mem,motor,MSC02,MSC06,0.95
72,mixed,motor,MSC02,MSC07,0.7799999999999999
73,mixed,mem,MSC02,MSC07,0.8300000000000001
74,motor,mixed,MSC02,MSC07,0.5449999999999999
75,motor,mem,MSC02,MSC07,0.565
76,mem,mixed,MSC02,MSC07,0.885
77,mem,motor,MSC02,MSC07,0.8300000000000001
