task,acc
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.505
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.55
mem,0.5549999999999999
mixed,0.5
motor,0.505
mem,0.505
mixed,0.5
motor,0.74
mem,0.515
mixed,0.5
motor,0.465
mem,0.545
mixed,0.595
motor,0.5
mem,0.8699999999999999
mixed,0.57
motor,0.5
mem,0.7100000000000001
mixed,0.5599999999999999
motor,0.5
mem,0.9
mixed,0.6850000000000002
motor,0.5
mem,0.9800000000000001
mixed,0.6700000000000002
motor,0.5
mem,0.8799999999999999
mixed,0.875
motor,0.5
mem,0.9200000000000002
mixed,0.575
motor,0.5
mem,0.885
mixed,0.565
motor,0.8750000000000002
mem,0.5
mixed,0.67
motor,0.595
mem,0.505
mixed,0.85
motor,0.9400000000000001
mem,0.74
mixed,0.8549999999999999
motor,0.915
mem,0.585
mixed,0.53
motor,0.8350000000000002
mem,0.8100000000000002
mixed,0.7750000000000001
motor,0.8850000000000001
mem,0.595
mixed,0.5700000000000001
motor,0.89
mem,0.7099999999999999
mixed,0.505
motor,0.59
mem,0.505
mixed,0.5599999999999998
motor,0.72
mem,0.8299999999999998
mixed,0.7350000000000001
motor,0.9349999999999999
mem,0.75
mixed,0.75
motor,0.86
mem,0.8950000000000001
mixed,0.7150000000000001
motor,0.8099999999999999
mem,0.75
mixed,0.7100000000000002
motor,0.9100000000000001
mem,0.7899999999999999
mixed,0.8499999999999999
motor,0.95
mem,0.875
mixed,0.5
motor,0.7949999999999999
mem,0.595
mixed,0.5
motor,0.615
mem,0.525
mixed,0.8049999999999999
motor,0.9649999999999999
mem,0.8349999999999997
mixed,0.66
motor,0.93
mem,0.7550000000000001
mixed,0.63
motor,0.6750000000000002
mem,0.85
mixed,0.5899999999999999
motor,0.8399999999999999
mem,0.755
mixed,0.7150000000000001
motor,0.8149999999999998
mem,0.825
mixed,0.705
motor,0.53
mem,0.5599999999999999
mixed,0.525
motor,0.615
mem,0.7699999999999999
mixed,0.505
motor,0.665
mem,0.8149999999999998
mixed,0.8200000000000001
motor,0.6799999999999999
mem,0.86
mixed,0.6600000000000001
motor,0.7450000000000001
mem,0.9400000000000001
mixed,0.795
motor,0.545
mem,0.68
mixed,0.645
motor,0.5349999999999999
mem,0.8699999999999999
mixed,0.95
motor,0.53
mem,0.6799999999999999
mixed,0.985
motor,0.575
mem,0.61
mixed,0.6899999999999998
motor,0.6199999999999999
mem,0.6599999999999999
mixed,0.85
motor,0.9400000000000001
mem,0.885
mixed,0.9199999999999999
motor,0.7849999999999999
mem,0.52
mixed,0.82
motor,0.745
mem,0.7899999999999999
mixed,0.905
motor,0.86
mem,0.6950000000000001
mixed,0.52
motor,0.5549999999999999
mem,0.63
mixed,0.61
motor,0.54
mem,0.74
mixed,0.5
motor,0.6850000000000002
mem,0.655
mixed,0.7700000000000001
motor,0.93
mem,0.8549999999999999
mixed,0.5549999999999999
motor,0.915
mem,0.7649999999999999
mixed,0.5
motor,0.6400000000000001
mem,0.655
mixed,0.67
motor,0.885
mem,0.8549999999999999
