,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.96
1,mixed,mem,MSC01,0.985
2,motor,mixed,MSC01,0.8700000000000001
3,motor,mem,MSC01,0.8149999999999998
4,mem,mixed,MSC01,0.9100000000000001
5,mem,motor,MSC01,0.9800000000000001
6,mixed,motor,MSC02,0.6900000000000002
7,mixed,mem,MSC02,0.8950000000000001
8,motor,mixed,MSC02,0.5
9,motor,mem,MSC02,0.52
10,mem,mixed,MSC02,0.845
11,mem,motor,MSC02,0.675
12,mixed,motor,MSC03,0.9800000000000001
13,mixed,mem,MSC03,0.8149999999999998
14,motor,mixed,MSC03,0.67
15,motor,mem,MSC03,0.72
16,mem,mixed,MSC03,0.8900000000000002
17,mem,motor,MSC03,0.9000000000000001
18,mixed,motor,MSC04,0.9549999999999998
19,mixed,mem,MSC04,0.95
20,motor,mixed,MSC04,0.7649999999999999
21,motor,mem,MSC04,0.8399999999999999
22,mem,mixed,MSC04,0.9400000000000001
23,mem,motor,MSC04,0.915
24,mixed,motor,MSC05,0.925
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.6950000000000001
27,motor,mem,MSC05,1.0
28,mem,mixed,MSC05,0.9399999999999998
29,mem,motor,MSC05,0.95
30,mixed,motor,MSC06,0.925
31,mixed,mem,MSC06,0.9649999999999999
32,motor,mixed,MSC06,0.65
33,motor,mem,MSC06,0.7999999999999999
34,mem,mixed,MSC06,0.7999999999999999
35,mem,motor,MSC06,0.78
36,mixed,motor,MSC07,0.8600000000000001
37,mixed,mem,MSC07,0.985
38,motor,mixed,MSC07,0.6250000000000001
39,motor,mem,MSC07,0.59
40,mem,mixed,MSC07,0.95
41,mem,motor,MSC07,0.95
42,mixed,motor,MSC10,0.9349999999999999
43,mixed,mem,MSC10,0.9949999999999999
44,motor,mixed,MSC10,0.65
45,motor,mem,MSC10,0.8149999999999998
46,mem,mixed,MSC10,0.8300000000000001
47,mem,motor,MSC10,0.9000000000000001
