,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.5
1,mixed,mem,MSC01,MSC02,0.5
2,motor,mixed,MSC01,MSC02,0.5
3,motor,mem,MSC01,MSC02,0.5
4,mem,mixed,MSC01,MSC02,0.5
5,mem,motor,MSC01,MSC02,0.5
6,mixed,motor,MSC01,MSC03,0.5
7,mixed,mem,MSC01,MSC03,0.5
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.45
10,mem,mixed,MSC01,MSC03,0.495
11,mem,motor,MSC01,MSC03,0.5
12,mixed,motor,MSC01,MSC04,0.5
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.5
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.5
17,mem,motor,MSC01,MSC04,0.5
18,mixed,motor,MSC01,MSC05,0.5
19,mixed,mem,MSC01,MSC05,0.5
20,motor,mixed,MSC01,MSC05,0.515
21,motor,mem,MSC01,MSC05,0.515
22,mem,mixed,MSC01,MSC05,0.5349999999999999
23,mem,motor,MSC01,MSC05,0.5349999999999999
24,mixed,motor,MSC01,MSC06,0.5
25,mixed,mem,MSC01,MSC06,0.5
26,motor,mixed,MSC01,MSC06,0.51
27,motor,mem,MSC01,MSC06,0.51
28,mem,mixed,MSC01,MSC06,0.505
29,mem,motor,MSC01,MSC06,0.505
30,mixed,motor,MSC01,MSC07,0.5
31,mixed,mem,MSC01,MSC07,0.5
32,motor,mixed,MSC01,MSC07,0.73
33,motor,mem,MSC01,MSC07,0.73
34,mem,mixed,MSC01,MSC07,0.5
35,mem,motor,MSC01,MSC07,0.5
36,mixed,motor,MSC01,MSC10,0.5
37,mixed,mem,MSC01,MSC10,0.5
38,motor,mixed,MSC01,MSC10,0.5
39,motor,mem,MSC01,MSC10,0.5
40,mem,mixed,MSC01,MSC10,0.515
41,mem,motor,MSC01,MSC10,0.51
42,mixed,motor,MSC02,MSC01,0.77
43,mixed,mem,MSC02,MSC01,0.7000000000000001
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.5
46,mem,mixed,MSC02,MSC01,0.7200000000000001
47,mem,motor,MSC02,MSC01,0.82
48,mixed,motor,MSC02,MSC03,0.615
49,mixed,mem,MSC02,MSC03,0.6399999999999999
50,motor,mixed,MSC02,MSC03,0.5
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.72
53,mem,motor,MSC02,MSC03,0.7499999999999999
54,mixed,motor,MSC02,MSC04,0.6500000000000001
55,mixed,mem,MSC02,MSC04,0.65
56,motor,mixed,MSC02,MSC04,0.5
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.6799999999999999
59,mem,motor,MSC02,MSC04,0.775
60,mixed,motor,MSC02,MSC05,0.675
61,mixed,mem,MSC02,MSC05,0.6950000000000001
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.9199999999999999
65,mem,motor,MSC02,MSC05,0.845
66,mixed,motor,MSC02,MSC06,0.6900000000000002
67,mixed,mem,MSC02,MSC06,0.5799999999999998
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.7300000000000001
71,mem,motor,MSC02,MSC06,0.835
72,mixed,motor,MSC02,MSC07,0.655
73,mixed,mem,MSC02,MSC07,0.64
74,motor,mixed,MSC02,MSC07,0.5
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.9
77,mem,motor,MSC02,MSC07,0.8750000000000002
78,mixed,motor,MSC02,MSC10,0.6950000000000001
