task,acc
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.5
mem,0.5
mixed,0.5
motor,0.515
mem,0.5349999999999999
mixed,0.5
motor,0.48500000000000004
mem,0.505
mixed,0.5
motor,0.705
mem,0.5
mixed,0.5
motor,0.45500000000000007
mem,0.515
mixed,0.5599999999999998
motor,0.5
mem,0.8499999999999999
mixed,0.5549999999999999
motor,0.5
mem,0.78
mixed,0.5549999999999999
motor,0.5
mem,0.875
mixed,0.6399999999999999
motor,0.5
mem,0.975
mixed,0.6400000000000001
motor,0.5
mem,0.82
mixed,0.8400000000000001
motor,0.5
mem,0.9550000000000001
mixed,0.565
motor,0.5
mem,0.875
mixed,0.565
motor,0.9
mem,0.885
mixed,0.705
motor,0.6049999999999999
mem,0.885
mixed,0.8499999999999999
motor,0.9400000000000001
mem,0.875
mixed,0.845
motor,0.905
mem,0.7750000000000001
mixed,0.53
motor,0.8049999999999999
mem,0.8149999999999998
mixed,0.7550000000000001
motor,0.8150000000000001
mem,0.8949999999999999
mixed,0.5599999999999999
motor,0.8549999999999999
mem,0.9549999999999998
mixed,0.525
motor,0.6950000000000001
mem,0.505
mixed,0.575
motor,0.7999999999999999
mem,0.8700000000000001
mixed,0.8099999999999998
motor,0.9200000000000002
mem,0.8400000000000001
mixed,0.8299999999999998
motor,0.8499999999999999
mem,0.9600000000000002
mixed,0.825
motor,0.7799999999999999
mem,0.875
mixed,0.745
motor,0.9349999999999999
mem,0.76
mixed,0.905
motor,0.95
mem,0.915
mixed,0.495
motor,0.8149999999999998
mem,0.6549999999999999
mixed,0.505
motor,0.685
mem,0.53
mixed,0.7899999999999998
motor,0.9349999999999999
mem,0.7649999999999999
mixed,0.6450000000000001
motor,0.925
mem,0.7250000000000001
mixed,0.74
motor,0.645
mem,0.8350000000000002
mixed,0.625
motor,0.8150000000000001
mem,0.74
mixed,0.72
motor,0.745
mem,0.8150000000000001
mixed,0.6549999999999999
motor,0.8
mem,0.72
mixed,0.5199999999999999
motor,0.5149999999999999
mem,0.66
mixed,0.505
motor,0.86
mem,0.7699999999999999
mixed,0.7899999999999999
motor,0.9100000000000001
mem,0.79
mixed,0.635
motor,0.72
mem,0.8800000000000001
mixed,0.8
motor,0.9799999999999999
mem,0.7849999999999999
mixed,0.65
motor,0.8600000000000001
mem,0.885
mixed,0.975
motor,0.73
mem,0.655
mixed,0.9899999999999999
motor,0.7150000000000001
mem,0.5999999999999999
mixed,0.64
motor,0.755
mem,0.645
mixed,0.9800000000000001
motor,0.945
mem,0.8950000000000001
mixed,0.7350000000000001
motor,0.905
mem,0.505
mixed,0.8550000000000001
motor,0.9550000000000001
mem,0.79
mixed,0.8800000000000002
motor,0.905
mem,0.6749999999999999
mixed,0.575
motor,0.6950000000000001
mem,0.72
mixed,0.665
motor,0.5650000000000001
mem,0.825
mixed,0.5
motor,0.72
mem,0.625
mixed,0.7999999999999999
motor,0.925
mem,0.8499999999999999
mixed,0.62
motor,0.805
mem,0.795
mixed,0.5
motor,0.7150000000000001
mem,0.655
mixed,0.67
motor,0.8699999999999999
mem,0.9149999999999998
