train_task,test_task,acc
mixed,motor,0.665
mixed,mem,0.9049999999999999
motor,mixed,0.95
motor,mem,0.9
mem,mixed,0.8499999999999999
mem,motor,0.6700000000000002
mixed,motor,0.6200000000000001
mixed,mem,0.74
motor,mixed,0.8700000000000001
motor,mem,0.945
mem,mixed,0.7899999999999998
mem,motor,0.605
mixed,motor,0.7649999999999999
mixed,mem,0.775
motor,mixed,0.775
motor,mem,0.745
mem,mixed,0.7100000000000001
mem,motor,0.665
mixed,motor,0.75
mixed,mem,0.78
motor,mixed,0.7749999999999999
motor,mem,0.93
mem,mixed,0.5850000000000001
mem,motor,0.6699999999999999
mixed,motor,0.7100000000000002
mixed,mem,0.77
motor,mixed,0.63
motor,mem,0.8550000000000001
mem,mixed,0.575
mem,motor,0.6500000000000001
mixed,motor,0.7350000000000001
mixed,mem,0.925
motor,mixed,0.8400000000000001
motor,mem,0.66
mem,mixed,0.89
mem,motor,0.7649999999999999
mixed,motor,0.6900000000000002
mixed,mem,0.755
motor,mixed,0.7000000000000001
motor,mem,0.8149999999999998
mem,mixed,0.565
mem,motor,0.6700000000000002
mixed,motor,0.915
mixed,mem,0.945
motor,mixed,0.5
motor,mem,0.55
mem,mixed,0.82
mem,motor,0.89
mixed,motor,0.64
mixed,mem,0.7999999999999999
motor,mixed,0.615
motor,mem,0.595
mem,mixed,0.76
mem,motor,0.735
mixed,motor,0.7749999999999998
mixed,mem,0.6950000000000001
motor,mixed,0.5
motor,mem,0.575
mem,mixed,0.7000000000000002
mem,motor,0.7949999999999999
mixed,motor,0.725
mixed,mem,0.845
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.7899999999999999
mem,motor,0.755
mixed,motor,0.7150000000000001
mixed,mem,0.765
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.74
mem,motor,0.8800000000000001
mixed,motor,0.8049999999999999
mixed,mem,0.89
motor,mixed,0.51
motor,mem,0.505
mem,mixed,0.8800000000000001
mem,motor,0.9200000000000002
mixed,motor,0.6249999999999999
mixed,mem,0.575
motor,mixed,0.5
motor,mem,0.505
mem,mixed,0.595
mem,motor,0.8299999999999998
mixed,motor,0.845
mixed,mem,0.8049999999999999
motor,mixed,0.5
motor,mem,0.6950000000000001
mem,mixed,0.9
mem,motor,0.9099999999999999
mixed,motor,0.95
mixed,mem,0.93
motor,mixed,0.5549999999999999
motor,mem,0.7
mem,mixed,0.7050000000000001
mem,motor,0.7
mixed,motor,0.8549999999999999
mixed,mem,0.835
motor,mixed,0.89
motor,mem,0.8499999999999999
mem,mixed,0.74
mem,motor,0.8049999999999999
mixed,motor,0.8049999999999999
mixed,mem,0.885
motor,mixed,0.925
motor,mem,0.95
mem,mixed,0.8299999999999998
mem,motor,0.675
mixed,motor,0.565
mixed,mem,0.6399999999999999
motor,mixed,0.6399999999999999
motor,mem,0.65
mem,mixed,0.7299999999999999
mem,motor,0.8399999999999999
mixed,motor,0.7749999999999999
mixed,mem,0.64
motor,mixed,0.5449999999999999
motor,mem,0.5999999999999999
mem,mixed,0.7350000000000001
mem,motor,0.95
mixed,motor,0.72
mixed,mem,0.675
motor,mixed,0.6249999999999999
motor,mem,0.77
mem,mixed,0.6950000000000001
mem,motor,0.9199999999999999
mixed,motor,0.925
mixed,mem,0.9649999999999999
motor,mixed,0.72
motor,mem,0.86
mem,mixed,0.62
mem,motor,0.69
mixed,motor,0.645
mixed,mem,0.835
motor,mixed,0.835
motor,mem,0.8499999999999999
mem,mixed,0.51
mem,motor,0.51
mixed,motor,0.8300000000000001
mixed,mem,0.8549999999999999
motor,mixed,0.7949999999999998
motor,mem,0.8099999999999999
mem,mixed,0.69
mem,motor,0.7849999999999999
mixed,motor,0.73
mixed,mem,0.9099999999999999
motor,mixed,0.5799999999999998
motor,mem,0.6849999999999999
mem,mixed,0.515
mem,motor,0.5549999999999999
mixed,motor,0.7
mixed,mem,0.7899999999999999
motor,mixed,0.585
motor,mem,0.6150000000000001
mem,mixed,0.535
mem,motor,0.57
mixed,motor,0.8099999999999999
mixed,mem,0.8250000000000002
motor,mixed,0.75
motor,mem,0.72
mem,mixed,0.6900000000000001
mem,motor,0.7200000000000001
mixed,motor,0.9
mixed,mem,0.845
motor,mixed,0.6300000000000001
motor,mem,0.72
mem,mixed,0.675
mem,motor,0.8399999999999999
mixed,motor,0.5549999999999999
mixed,mem,0.5549999999999999
motor,mixed,0.73
motor,mem,0.7949999999999999
mem,mixed,0.615
mem,motor,0.67
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.5499999999999999
motor,mem,0.5499999999999999
mem,mixed,0.5549999999999999
mem,motor,0.5549999999999999
mixed,motor,0.7100000000000001
mixed,mem,0.7100000000000001
motor,mixed,0.7849999999999999
motor,mem,0.6350000000000001
mem,mixed,0.8099999999999999
mem,motor,0.8099999999999999
mixed,motor,0.685
mixed,mem,0.595
motor,mixed,0.52
motor,mem,0.595
mem,mixed,0.7350000000000001
mem,motor,0.78
mixed,motor,0.5549999999999999
mixed,mem,0.5999999999999999
motor,mixed,0.5299999999999999
motor,mem,0.595
mem,mixed,0.7300000000000001
mem,motor,0.7350000000000001
mixed,motor,0.675
mixed,mem,0.66
motor,mixed,0.605
motor,mem,0.635
mem,mixed,0.8950000000000001
mem,motor,0.95
mixed,motor,0.6500000000000001
mixed,mem,0.64
motor,mixed,0.38
motor,mem,0.635
mem,mixed,0.585
mem,motor,0.6950000000000001
mixed,motor,0.78
mixed,mem,0.885
motor,mixed,0.8099999999999999
motor,mem,0.8550000000000001
mem,mixed,0.8800000000000001
mem,motor,0.8300000000000001
mixed,motor,0.585
mixed,mem,0.7799999999999999
motor,mixed,0.85
motor,mem,0.9400000000000001
mem,mixed,0.565
mem,motor,0.5
mixed,motor,0.6900000000000001
mixed,mem,0.695
motor,mixed,0.735
motor,mem,0.75
mem,mixed,0.59
mem,motor,0.5249999999999999
mixed,motor,0.7999999999999999
mixed,mem,0.7949999999999998
motor,mixed,0.8450000000000001
motor,mem,0.85
mem,mixed,0.5700000000000001
mem,motor,0.5399999999999999
mixed,motor,0.615
mixed,mem,0.8950000000000001
motor,mixed,0.685
motor,mem,0.8399999999999999
mem,mixed,0.59
mem,motor,0.59
mixed,motor,0.755
mixed,mem,0.86
motor,mixed,0.8949999999999999
motor,mem,0.89
mem,mixed,0.68
mem,motor,0.7150000000000001
mixed,motor,0.6549999999999999
mixed,mem,0.6649999999999998
motor,mixed,0.7200000000000001
motor,mem,0.8099999999999999
mem,mixed,0.76
mem,motor,0.8400000000000001
mixed,motor,0.95
mixed,mem,0.99
motor,mixed,0.5549999999999999
motor,mem,0.565
mem,mixed,0.99
mem,motor,0.9949999999999999
mixed,motor,0.6300000000000001
mixed,mem,0.9199999999999999
motor,mixed,0.585
motor,mem,0.585
mem,mixed,0.9100000000000001
mem,motor,0.69
mixed,motor,0.6
mixed,mem,0.7999999999999999
motor,mixed,0.7000000000000001
motor,mem,0.72
mem,mixed,0.745
mem,motor,0.7949999999999999
mixed,motor,0.8699999999999999
mixed,mem,0.7799999999999999
motor,mixed,0.675
motor,mem,0.7300000000000001
mem,mixed,0.885
mem,motor,0.8500000000000002
mixed,motor,0.615
mixed,mem,0.8949999999999999
motor,mixed,0.8549999999999999
motor,mem,0.985
mem,mixed,0.8100000000000002
mem,motor,0.635
mixed,motor,0.6599999999999999
mixed,mem,0.6100000000000001
motor,mixed,0.6749999999999998
motor,mem,0.7500000000000001
mem,mixed,0.57
mem,motor,0.8099999999999999
mixed,motor,0.6950000000000001
mixed,mem,0.8299999999999998
motor,mixed,0.7349999999999999
motor,mem,0.8
mem,mixed,0.65
mem,motor,0.745
mixed,motor,0.51
mixed,mem,0.64
motor,mixed,0.505
motor,mem,0.635
mem,mixed,0.6400000000000001
mem,motor,0.74
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.505
motor,mem,0.5449999999999999
mem,mixed,0.59
mem,motor,0.6499999999999999
mixed,motor,0.615
mixed,mem,0.8049999999999999
motor,mixed,0.7250000000000001
motor,mem,0.7899999999999999
mem,mixed,0.8549999999999999
mem,motor,0.8700000000000001
mixed,motor,0.53
mixed,mem,0.6649999999999999
motor,mixed,0.585
motor,mem,0.655
mem,mixed,0.755
mem,motor,0.77
mixed,motor,0.505
mixed,mem,0.68
motor,mixed,0.5
motor,mem,0.5349999999999999
mem,mixed,0.7499999999999999
mem,motor,0.7150000000000001
mixed,motor,0.5599999999999999
mixed,mem,0.57
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.63
mem,motor,0.735
mixed,motor,0.62
mixed,mem,0.575
motor,mixed,0.505
motor,mem,0.45500000000000007
mem,mixed,0.7250000000000001
mem,motor,0.8550000000000001
