task,acc
mixed,0.945
motor,0.9650000000000001
mem,0.9050000000000002
mixed,0.635
motor,0.9299999999999999
mem,0.915
mixed,0.8150000000000001
motor,0.845
mem,0.8049999999999999
mixed,0.7350000000000001
motor,0.97
mem,0.865
mixed,0.655
motor,0.9600000000000002
mem,0.8399999999999999
mixed,0.925
motor,0.945
mem,0.8699999999999999
mixed,0.685
motor,0.8049999999999999
mem,0.8099999999999999
mixed,0.8800000000000001
motor,0.745
mem,0.9650000000000001
mixed,0.835
motor,0.7999999999999999
mem,0.8
mixed,0.585
motor,0.7350000000000001
mem,0.8549999999999999
mixed,0.715
motor,0.5
mem,0.95
mixed,0.6950000000000001
motor,0.675
mem,0.875
mixed,0.925
motor,0.795
mem,0.8399999999999999
mixed,0.51
motor,0.61
mem,0.865
mixed,0.57
motor,0.8049999999999999
mem,0.8800000000000001
mixed,0.7999999999999998
motor,0.75
mem,0.9
mixed,0.8049999999999999
motor,0.95
mem,0.8599999999999998
mixed,0.8900000000000002
motor,0.9099999999999999
mem,0.86
mixed,0.5149999999999999
motor,0.695
mem,0.9199999999999999
mixed,0.5700000000000001
motor,0.865
mem,0.7849999999999999
mixed,0.5149999999999999
motor,0.9349999999999999
mem,0.9400000000000001
mixed,0.97
motor,0.97
mem,0.795
mixed,0.66
motor,0.925
mem,0.705
mixed,0.8
motor,0.9349999999999999
mem,0.8950000000000001
mixed,0.7649999999999999
motor,0.7849999999999999
mem,0.72
mixed,0.7899999999999999
motor,0.7150000000000001
mem,0.7300000000000001
mixed,0.8149999999999998
motor,0.9549999999999998
mem,0.6950000000000001
mixed,0.905
motor,0.915
mem,0.845
mixed,0.5499999999999999
motor,0.8349999999999997
mem,0.67
mixed,0.5
motor,0.5499999999999999
mem,0.5549999999999999
mixed,0.7100000000000001
motor,0.835
mem,0.8099999999999999
mixed,0.685
motor,0.75
mem,0.655
mixed,0.5999999999999999
motor,0.5499999999999999
mem,0.785
mixed,0.675
motor,0.7949999999999999
mem,0.7849999999999999
mixed,0.605
motor,0.6600000000000001
mem,0.6900000000000001
mixed,0.805
motor,0.8800000000000001
mem,0.99
mixed,0.8150000000000001
motor,0.9199999999999999
mem,0.7899999999999998
mixed,0.7499999999999999
motor,0.8
mem,0.8
mixed,0.8300000000000001
motor,0.875
mem,0.7150000000000001
mixed,0.74
motor,0.8300000000000001
mem,0.8549999999999999
mixed,0.875
motor,0.8949999999999999
mem,0.7550000000000001
mixed,0.6399999999999999
motor,0.805
mem,0.9249999999999998
mixed,0.9800000000000001
motor,0.575
mem,1.0
mixed,0.9149999999999998
motor,0.585
mem,0.975
mixed,0.7150000000000001
motor,0.72
mem,0.8599999999999998
mixed,0.8099999999999999
motor,0.905
mem,0.8550000000000001
mixed,0.635
motor,0.9400000000000001
mem,0.9400000000000001
mixed,0.595
motor,0.7650000000000001
mem,0.7150000000000001
mixed,0.625
motor,0.85
mem,0.8099999999999999
mixed,0.75
motor,0.77
mem,0.9
mixed,0.5
motor,0.6550000000000001
mem,0.82
mixed,0.605
motor,0.9250000000000002
mem,0.905
mixed,0.7200000000000001
motor,0.9400000000000001
mem,0.9100000000000001
mixed,0.645
motor,0.5499999999999999
mem,0.905
mixed,0.6049999999999999
motor,0.6400000000000001
mem,0.875
mixed,0.72
motor,0.755
mem,0.6950000000000001
