task,acc
mixed,0.6599999999999999
motor,0.7500000000000002
mem,0.675
mixed,0.52
motor,0.7799999999999999
mem,0.7050000000000001
mixed,0.6299999999999999
motor,0.775
mem,0.78
mixed,0.5999999999999999
motor,0.8699999999999999
mem,0.95
mixed,0.565
motor,0.9299999999999999
mem,0.95
mixed,0.8950000000000001
motor,0.975
mem,0.9949999999999999
mixed,0.7
motor,0.755
mem,0.8299999999999998
mixed,0.7900000000000001
motor,0.5
mem,0.8600000000000001
mixed,0.755
motor,0.725
mem,0.66
mixed,0.5549999999999999
motor,0.5549999999999999
mem,0.875
mixed,0.65
motor,0.5
mem,0.945
mixed,0.645
motor,0.5549999999999999
mem,0.93
mixed,0.915
motor,0.5
mem,0.9399999999999998
mixed,0.5
motor,0.5
mem,0.7949999999999999
mixed,0.5299999999999999
motor,0.825
mem,0.77
mixed,0.685
motor,0.85
mem,0.8600000000000001
mixed,0.6449999999999999
motor,0.9100000000000001
mem,0.8549999999999999
mixed,0.7649999999999999
motor,0.8700000000000001
mem,0.8549999999999999
mixed,0.5
motor,0.7300000000000001
mem,0.9200000000000002
mixed,0.5549999999999999
motor,0.7899999999999999
mem,0.865
mixed,0.505
motor,0.795
mem,0.95
mixed,0.565
motor,0.675
mem,0.865
mixed,0.7699999999999999
motor,0.8300000000000001
mem,0.8299999999999998
mixed,0.63
motor,0.86
mem,0.7200000000000001
mixed,0.845
motor,0.8800000000000001
mem,0.9
mixed,0.7999999999999999
motor,0.7649999999999999
mem,0.99
mixed,0.8099999999999999
motor,0.9000000000000001
mem,0.85
mixed,0.865
motor,0.9
mem,0.89
mixed,0.5
motor,0.7999999999999999
mem,0.5549999999999999
mixed,0.5
motor,0.595
mem,0.5
mixed,0.5599999999999999
motor,0.89
mem,0.6199999999999999
mixed,0.505
motor,0.7899999999999999
mem,0.575
mixed,0.505
motor,0.57
mem,0.6499999999999999
mixed,0.5549999999999999
motor,0.7999999999999999
mem,0.7350000000000001
mixed,0.565
motor,0.68
mem,0.625
mixed,0.8099999999999999
motor,0.74
mem,0.76
mixed,0.765
motor,0.7700000000000001
mem,0.835
mixed,0.735
motor,0.67
mem,0.7999999999999999
mixed,0.825
motor,0.8
mem,0.8399999999999999
mixed,0.74
motor,0.8450000000000001
mem,0.9550000000000001
mixed,0.8450000000000001
motor,0.6800000000000002
mem,0.8700000000000001
mixed,0.625
motor,0.7150000000000001
mem,0.7250000000000001
mixed,1.0
motor,0.515
mem,0.605
mixed,0.9099999999999999
motor,0.5599999999999999
mem,0.5899999999999999
mixed,0.7050000000000001
motor,0.615
mem,0.6199999999999999
mixed,0.7899999999999999
motor,0.925
mem,0.8649999999999999
mixed,0.6799999999999999
motor,0.9000000000000001
mem,0.79
mixed,0.6200000000000001
motor,0.6949999999999998
mem,0.9
mixed,0.635
motor,0.75
mem,0.585
mixed,0.5349999999999999
motor,0.7049999999999998
mem,0.5549999999999999
mixed,0.5599999999999999
motor,0.765
mem,0.7699999999999999
mixed,0.5849999999999999
motor,0.6799999999999999
mem,0.57
mixed,0.8950000000000001
motor,0.925
mem,0.875
mixed,0.45999999999999996
motor,0.645
mem,0.93
mixed,0.67
motor,0.6900000000000002
mem,0.85
mixed,0.6150000000000001
motor,0.845
mem,0.825
