,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.24
1,mixed,mem,MSC01,MSC02,0.5650000000000001
2,motor,mixed,MSC01,MSC02,0.53
3,motor,mem,MSC01,MSC02,0.495
4,mem,mixed,MSC01,MSC02,0.515
5,mem,motor,MSC01,MSC02,0.5799999999999998
6,mixed,motor,MSC01,MSC03,0.32499999999999996
7,mixed,mem,MSC01,MSC03,0.4750000000000001
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.5
10,mem,mixed,MSC01,MSC03,0.5299999999999999
11,mem,motor,MSC01,MSC03,0.24500000000000002
12,mixed,motor,MSC01,MSC04,0.38
13,mixed,mem,MSC01,MSC04,0.495
14,motor,mixed,MSC01,MSC04,0.47000000000000003
15,motor,mem,MSC01,MSC04,0.475
16,mem,mixed,MSC01,MSC04,0.5999999999999999
17,mem,motor,MSC01,MSC04,0.6649999999999999
18,mixed,motor,MSC01,MSC05,0.6650000000000001
19,mixed,mem,MSC01,MSC05,0.52
20,motor,mixed,MSC01,MSC05,0.525
21,motor,mem,MSC01,MSC05,0.4750000000000001
22,mem,mixed,MSC01,MSC05,0.5
23,mem,motor,MSC01,MSC05,0.595
24,mixed,motor,MSC01,MSC06,0.52
25,mixed,mem,MSC01,MSC06,0.69
26,motor,mixed,MSC01,MSC06,0.45
27,motor,mem,MSC01,MSC06,0.525
28,mem,mixed,MSC01,MSC06,0.5849999999999999
29,mem,motor,MSC01,MSC06,0.5999999999999999
30,mixed,motor,MSC01,MSC07,0.43000000000000005
31,mixed,mem,MSC01,MSC07,0.525
32,motor,mixed,MSC01,MSC07,0.49000000000000005
33,motor,mem,MSC01,MSC07,0.5050000000000001
34,mem,mixed,MSC01,MSC07,0.685
35,mem,motor,MSC01,MSC07,0.665
36,mixed,motor,MSC01,MSC10,0.505
37,mixed,mem,MSC01,MSC10,0.4700000000000001
38,motor,mixed,MSC01,MSC10,0.51
39,motor,mem,MSC01,MSC10,0.53
40,mem,mixed,MSC01,MSC10,0.645
41,mem,motor,MSC01,MSC10,0.6650000000000001
42,mixed,motor,MSC02,MSC01,0.4800000000000001
43,mixed,mem,MSC02,MSC01,0.51
44,motor,mixed,MSC02,MSC01,0.495
45,motor,mem,MSC02,MSC01,0.45500000000000007
46,mem,mixed,MSC02,MSC01,0.59
47,mem,motor,MSC02,MSC01,0.5050000000000001
48,mixed,motor,MSC02,MSC03,0.45500000000000007
49,mixed,mem,MSC02,MSC03,0.40499999999999997
50,motor,mixed,MSC02,MSC03,0.45000000000000007
51,motor,mem,MSC02,MSC03,0.465
52,mem,mixed,MSC02,MSC03,0.275
53,mem,motor,MSC02,MSC03,0.17500000000000002
54,mixed,motor,MSC02,MSC04,0.66
55,mixed,mem,MSC02,MSC04,0.58
56,motor,mixed,MSC02,MSC04,0.5549999999999999
57,motor,mem,MSC02,MSC04,0.495
58,mem,mixed,MSC02,MSC04,0.705
59,mem,motor,MSC02,MSC04,0.585
60,mixed,motor,MSC02,MSC05,0.6349999999999999
61,mixed,mem,MSC02,MSC05,0.485
62,motor,mixed,MSC02,MSC05,0.5
63,motor,mem,MSC02,MSC05,0.52
64,mem,mixed,MSC02,MSC05,0.655
65,mem,motor,MSC02,MSC05,0.6
66,mixed,motor,MSC02,MSC06,0.48999999999999994
67,mixed,mem,MSC02,MSC06,0.54
68,motor,mixed,MSC02,MSC06,0.505
69,motor,mem,MSC02,MSC06,0.45500000000000007
70,mem,mixed,MSC02,MSC06,0.4600000000000001
71,mem,motor,MSC02,MSC06,0.25
72,mixed,motor,MSC02,MSC07,0.655
73,mixed,mem,MSC02,MSC07,0.49000000000000005
74,motor,mixed,MSC02,MSC07,0.5549999999999999
75,motor,mem,MSC02,MSC07,0.535
76,mem,mixed,MSC02,MSC07,0.5549999999999999
77,mem,motor,MSC02,MSC07,0.65
78,mixed,motor,MSC02,MSC10,0.5250000000000001
79,mixed,mem,MSC02,MSC10,0.515
80,motor,mixed,MSC02,MSC10,0.5949999999999999
81,motor,mem,MSC02,MSC10,0.59
82,mem,mixed,MSC02,MSC10,0.6049999999999999
83,mem,motor,MSC02,MSC10,0.515
84,mixed,motor,MSC03,MSC01,0.5549999999999999
85,mixed,mem,MSC03,MSC01,0.57
