,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.33999999999999997
1,mixed,mem,MSC01,MSC02,0.5
2,motor,mixed,MSC01,MSC02,0.475
3,motor,mem,MSC01,MSC02,0.4800000000000001
4,mem,mixed,MSC01,MSC02,0.43500000000000005
5,mem,motor,MSC01,MSC02,0.225
6,mixed,motor,MSC01,MSC03,0.3950000000000001
7,mixed,mem,MSC01,MSC03,0.5
8,motor,mixed,MSC01,MSC03,0.5
9,motor,mem,MSC01,MSC03,0.5
10,mem,mixed,MSC01,MSC03,0.5
11,mem,motor,MSC01,MSC03,0.425
12,mixed,motor,MSC01,MSC04,0.465
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.5
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.45500000000000007
17,mem,motor,MSC01,MSC04,0.4149999999999999
18,mixed,motor,MSC01,MSC05,0.6450000000000001
19,mixed,mem,MSC01,MSC05,0.59
20,motor,mixed,MSC01,MSC05,0.5499999999999999
21,motor,mem,MSC01,MSC05,0.5499999999999999
22,mem,mixed,MSC01,MSC05,0.57
23,mem,motor,MSC01,MSC05,0.655
24,mixed,motor,MSC01,MSC06,0.4250000000000001
25,mixed,mem,MSC01,MSC06,0.5599999999999999
26,motor,mixed,MSC01,MSC06,0.49000000000000005
27,motor,mem,MSC01,MSC06,0.52
28,mem,mixed,MSC01,MSC06,0.505
29,mem,motor,MSC01,MSC06,0.5199999999999999
30,mixed,motor,MSC01,MSC07,0.49000000000000005
31,mixed,mem,MSC01,MSC07,0.5399999999999999
32,motor,mixed,MSC01,MSC07,0.505
33,motor,mem,MSC01,MSC07,0.505
34,mem,mixed,MSC01,MSC07,0.5499999999999999
35,mem,motor,MSC01,MSC07,0.4600000000000001
36,mixed,motor,MSC01,MSC10,0.5499999999999999
37,mixed,mem,MSC01,MSC10,0.5399999999999999
38,motor,mixed,MSC01,MSC10,0.5499999999999999
39,motor,mem,MSC01,MSC10,0.5499999999999999
40,mem,mixed,MSC01,MSC10,0.505
41,mem,motor,MSC01,MSC10,0.505
42,mixed,motor,MSC02,MSC01,0.585
43,mixed,mem,MSC02,MSC01,0.58
44,motor,mixed,MSC02,MSC01,0.5
45,motor,mem,MSC02,MSC01,0.48
46,mem,mixed,MSC02,MSC01,0.655
47,mem,motor,MSC02,MSC01,0.58
48,mixed,motor,MSC02,MSC03,0.5
49,mixed,mem,MSC02,MSC03,0.48
50,motor,mixed,MSC02,MSC03,0.495
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.48
53,mem,motor,MSC02,MSC03,0.43
54,mixed,motor,MSC02,MSC04,0.6199999999999999
55,mixed,mem,MSC02,MSC04,0.575
56,motor,mixed,MSC02,MSC04,0.5850000000000001
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.5199999999999999
59,mem,motor,MSC02,MSC04,0.41500000000000004
60,mixed,motor,MSC02,MSC05,0.5850000000000001
61,mixed,mem,MSC02,MSC05,0.5050000000000001
62,motor,mixed,MSC02,MSC05,0.475
63,motor,mem,MSC02,MSC05,0.525
64,mem,mixed,MSC02,MSC05,0.615
65,mem,motor,MSC02,MSC05,0.575
