,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.49000000000000005
1,MSC01,MSC02,motor,0.43500000000000005
2,MSC01,MSC02,mem,0.5
3,MSC01,MSC03,mixed,0.5
4,MSC01,MSC03,motor,0.5
5,MSC01,MSC03,mem,0.5
6,MSC01,MSC04,mixed,0.5
7,MSC01,MSC04,motor,0.5
8,MSC01,MSC04,mem,0.495
9,MSC01,MSC05,mixed,0.615
10,MSC01,MSC05,motor,0.58
11,MSC01,MSC05,mem,0.48500000000000004
12,MSC01,MSC06,mixed,0.4750000000000001
13,MSC01,MSC06,motor,0.41500000000000004
14,MSC01,MSC06,mem,0.5899999999999999
15,MSC01,MSC07,mixed,0.5399999999999999
16,MSC01,MSC07,motor,0.505
17,MSC01,MSC07,mem,0.5499999999999999
18,MSC01,MSC10,mixed,0.5499999999999999
19,MSC01,MSC10,motor,0.5449999999999999
20,MSC01,MSC10,mem,0.505
21,MSC02,MSC01,mixed,0.595
22,MSC02,MSC01,motor,0.5
23,MSC02,MSC01,mem,0.6800000000000002
24,MSC02,MSC03,mixed,0.465
25,MSC02,MSC03,motor,0.5
26,MSC02,MSC03,mem,0.53
27,MSC02,MSC04,mixed,0.705
28,MSC02,MSC04,motor,0.74
29,MSC02,MSC04,mem,0.665
30,MSC02,MSC05,mixed,0.65
31,MSC02,MSC05,motor,0.425
32,MSC02,MSC05,mem,0.64
33,MSC02,MSC06,mixed,0.63
34,MSC02,MSC06,motor,0.495
35,MSC02,MSC06,mem,0.5900000000000001
36,MSC02,MSC07,mixed,0.495
37,MSC02,MSC07,motor,0.775
38,MSC02,MSC07,mem,0.5399999999999999
39,MSC02,MSC10,mixed,0.72
40,MSC02,MSC10,motor,0.5
41,MSC02,MSC10,mem,0.475
42,MSC03,MSC01,mixed,0.5849999999999999
43,MSC03,MSC01,motor,0.41500000000000004
44,MSC03,MSC01,mem,0.4800000000000001
45,MSC03,MSC02,mixed,0.465
46,MSC03,MSC02,motor,0.51
47,MSC03,MSC02,mem,0.5
48,MSC03,MSC04,mixed,0.8149999999999998
49,MSC03,MSC04,motor,0.6950000000000001
50,MSC03,MSC04,mem,0.5
51,MSC03,MSC05,mixed,0.52
52,MSC03,MSC05,motor,0.33499999999999996
53,MSC03,MSC05,mem,0.5
54,MSC03,MSC06,mixed,0.5499999999999999
55,MSC03,MSC06,motor,0.42000000000000004
56,MSC03,MSC06,mem,0.5
57,MSC03,MSC07,mixed,0.525
58,MSC03,MSC07,motor,0.54
59,MSC03,MSC07,mem,0.5
60,MSC03,MSC10,mixed,0.7
61,MSC03,MSC10,motor,0.45000000000000007
62,MSC03,MSC10,mem,0.505
63,MSC04,MSC01,mixed,0.5
64,MSC04,MSC01,motor,0.5
65,MSC04,MSC01,mem,0.635
66,MSC04,MSC02,mixed,0.5
67,MSC04,MSC02,motor,0.6050000000000001
68,MSC04,MSC02,mem,0.5349999999999999
69,MSC04,MSC03,mixed,0.525
70,MSC04,MSC03,motor,0.5
71,MSC04,MSC03,mem,0.575
72,MSC04,MSC05,mixed,0.7449999999999999
73,MSC04,MSC05,motor,0.59
74,MSC04,MSC05,mem,0.595
75,MSC04,MSC06,mixed,0.505
76,MSC04,MSC06,motor,0.5
77,MSC04,MSC06,mem,0.6249999999999998
78,MSC04,MSC07,mixed,0.53
79,MSC04,MSC07,motor,0.5549999999999999
80,MSC04,MSC07,mem,0.625
81,MSC04,MSC10,mixed,0.525
82,MSC04,MSC10,motor,0.62
83,MSC04,MSC10,mem,0.54
84,MSC05,MSC01,mixed,0.63
85,MSC05,MSC01,motor,0.605
86,MSC05,MSC01,mem,0.67
87,MSC05,MSC02,mixed,0.5
88,MSC05,MSC02,motor,0.6400000000000001
89,MSC05,MSC02,mem,0.495
90,MSC05,MSC03,mixed,0.5
91,MSC05,MSC03,motor,0.31999999999999995
92,MSC05,MSC03,mem,0.5
93,MSC05,MSC04,mixed,0.8149999999999998
94,MSC05,MSC04,motor,0.49000000000000005
95,MSC05,MSC04,mem,0.68
96,MSC05,MSC06,mixed,0.5499999999999999
97,MSC05,MSC06,motor,0.66
98,MSC05,MSC06,mem,0.5
99,MSC05,MSC07,mixed,0.5399999999999999
100,MSC05,MSC07,motor,0.4250000000000001
101,MSC05,MSC07,mem,0.505
102,MSC05,MSC10,mixed,0.5499999999999999
103,MSC05,MSC10,motor,0.5599999999999999
104,MSC05,MSC10,mem,0.5549999999999999
105,MSC06,MSC01,mixed,0.55
106,MSC06,MSC01,motor,0.615
107,MSC06,MSC01,mem,0.5950000000000001
108,MSC06,MSC02,mixed,0.7250000000000001
109,MSC06,MSC02,motor,0.6200000000000001
110,MSC06,MSC02,mem,0.5
111,MSC06,MSC03,mixed,0.53
112,MSC06,MSC03,motor,0.5399999999999999
113,MSC06,MSC03,mem,0.39
114,MSC06,MSC04,mixed,0.6449999999999999
115,MSC06,MSC04,motor,0.5449999999999999
116,MSC06,MSC04,mem,0.52
117,MSC06,MSC05,mixed,0.51
118,MSC06,MSC05,motor,0.5599999999999999
119,MSC06,MSC05,mem,0.5349999999999999
120,MSC06,MSC07,mixed,0.545
121,MSC06,MSC07,motor,0.6100000000000001
122,MSC06,MSC07,mem,0.4450000000000001
123,MSC06,MSC10,mixed,0.8200000000000001
124,MSC06,MSC10,motor,0.74
125,MSC06,MSC10,mem,0.5399999999999999
126,MSC07,MSC01,mixed,0.5349999999999999
127,MSC07,MSC01,motor,0.5
128,MSC07,MSC01,mem,0.5349999999999999
129,MSC07,MSC02,mixed,0.5399999999999999
130,MSC07,MSC02,motor,0.82
131,MSC07,MSC02,mem,0.5650000000000001
132,MSC07,MSC03,mixed,0.5
133,MSC07,MSC03,motor,0.5
134,MSC07,MSC03,mem,0.5
135,MSC07,MSC04,mixed,0.5549999999999999
136,MSC07,MSC04,motor,0.505
137,MSC07,MSC04,mem,0.635
138,MSC07,MSC05,mixed,0.5499999999999999
139,MSC07,MSC05,motor,0.5
140,MSC07,MSC05,mem,0.7749999999999999
141,MSC07,MSC06,mixed,0.5850000000000001
142,MSC07,MSC06,motor,0.49000000000000005
143,MSC07,MSC06,mem,0.5250000000000001
144,MSC07,MSC10,mixed,0.66
145,MSC07,MSC10,motor,0.5549999999999999
146,MSC07,MSC10,mem,0.71
147,MSC10,MSC01,mixed,0.5
148,MSC10,MSC01,motor,0.5499999999999999
149,MSC10,MSC01,mem,0.6199999999999999
150,MSC10,MSC02,mixed,0.6299999999999999
151,MSC10,MSC02,motor,0.545
152,MSC10,MSC02,mem,0.5349999999999999
153,MSC10,MSC03,mixed,0.5
154,MSC10,MSC03,motor,0.43000000000000005
155,MSC10,MSC03,mem,0.5
156,MSC10,MSC04,mixed,0.7
157,MSC10,MSC04,motor,0.525
158,MSC10,MSC04,mem,0.5399999999999999
159,MSC10,MSC05,mixed,0.505
160,MSC10,MSC05,motor,0.5
161,MSC10,MSC05,mem,0.5149999999999999
162,MSC10,MSC06,mixed,0.67
163,MSC10,MSC06,motor,0.685
164,MSC10,MSC06,mem,0.59
165,MSC10,MSC07,mixed,0.5499999999999999
166,MSC10,MSC07,motor,0.6799999999999999
167,MSC10,MSC07,mem,0.6900000000000001
