,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.7499999999999999
1,mixed,mem,MSC01,0.845
2,motor,mixed,MSC01,0.7499999999999998
3,motor,mem,MSC01,0.7499999999999998
4,mem,mixed,MSC01,0.8450000000000001
5,mem,motor,MSC01,0.7499999999999999
6,mixed,motor,MSC02,0.7349999999999999
7,mixed,mem,MSC02,0.54
8,motor,mixed,MSC02,0.57
9,motor,mem,MSC02,0.5599999999999999
10,mem,mixed,MSC02,0.5050000000000001
11,mem,motor,MSC02,0.4699999999999999
12,mixed,motor,MSC03,0.675
13,mixed,mem,MSC03,0.5800000000000001
14,motor,mixed,MSC03,0.665
15,motor,mem,MSC03,0.5149999999999999
16,mem,mixed,MSC03,0.45999999999999996
17,mem,motor,MSC03,0.6
18,mixed,motor,MSC04,0.765
19,mixed,mem,MSC04,0.8600000000000001
20,motor,mixed,MSC04,0.8299999999999998
21,motor,mem,MSC04,0.5599999999999999
22,mem,mixed,MSC04,0.915
23,mem,motor,MSC04,0.5849999999999999
24,mixed,motor,MSC05,0.725
25,mixed,mem,MSC05,0.65
26,motor,mixed,MSC05,0.72
27,motor,mem,MSC05,0.67
28,mem,mixed,MSC05,0.605
29,mem,motor,MSC05,0.6649999999999999
30,mixed,motor,MSC06,0.745
31,mixed,mem,MSC06,0.635
32,motor,mixed,MSC06,0.595
33,motor,mem,MSC06,0.6049999999999999
34,mem,mixed,MSC06,0.71
35,mem,motor,MSC06,0.825
36,mixed,motor,MSC07,0.755
37,mixed,mem,MSC07,0.725
38,motor,mixed,MSC07,0.6100000000000001
39,motor,mem,MSC07,0.5750000000000001
40,mem,mixed,MSC07,0.6799999999999999
41,mem,motor,MSC07,0.6699999999999999
42,mixed,motor,MSC10,0.7549999999999999
43,mixed,mem,MSC10,0.7349999999999999
44,motor,mixed,MSC10,0.6050000000000001
45,motor,mem,MSC10,0.67
46,mem,mixed,MSC10,0.6599999999999999
47,mem,motor,MSC10,0.885
