train_task,test_task,acc
mixed,motor,0.255
mixed,mem,0.5349999999999999
motor,mixed,0.505
motor,mem,0.4800000000000001
mem,mixed,0.515
mem,motor,0.5899999999999999
mixed,motor,0.3
mixed,mem,0.47000000000000003
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5149999999999999
mem,motor,0.24499999999999997
mixed,motor,0.3750000000000001
mixed,mem,0.5
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6149999999999999
mem,motor,0.655
mixed,motor,0.6700000000000002
mixed,mem,0.535
motor,mixed,0.51
motor,mem,0.51
mem,mixed,0.52
mem,motor,0.6199999999999999
mixed,motor,0.53
mixed,mem,0.6500000000000001
motor,mixed,0.4600000000000001
motor,mem,0.505
mem,mixed,0.5999999999999999
mem,motor,0.5999999999999999
mixed,motor,0.43500000000000005
mixed,mem,0.53
motor,mixed,0.495
motor,mem,0.5
mem,mixed,0.6900000000000002
mem,motor,0.675
mixed,motor,0.51
mixed,mem,0.47000000000000003
motor,mixed,0.51
motor,mem,0.525
mem,mixed,0.6399999999999999
mem,motor,0.645
mixed,motor,0.505
mixed,mem,0.5149999999999999
motor,mixed,0.5
motor,mem,0.49000000000000005
mem,mixed,0.6449999999999999
mem,motor,0.54
mixed,motor,0.49499999999999994
mixed,mem,0.4699999999999999
motor,mixed,0.495
motor,mem,0.5
mem,mixed,0.39
mem,motor,0.29000000000000004
mixed,motor,0.6500000000000001
mixed,mem,0.57
motor,mixed,0.6000000000000001
motor,mem,0.5
mem,mixed,0.68
mem,motor,0.5599999999999999
mixed,motor,0.605
mixed,mem,0.485
motor,mixed,0.505
motor,mem,0.545
mem,mixed,0.64
mem,motor,0.595
mixed,motor,0.5049999999999999
mixed,mem,0.55
motor,mixed,0.5
motor,mem,0.45000000000000007
mem,mixed,0.495
mem,motor,0.30000000000000004
mixed,motor,0.635
mixed,mem,0.48500000000000004
motor,mixed,0.5549999999999999
motor,mem,0.59
mem,mixed,0.5250000000000001
mem,motor,0.615
mixed,motor,0.56
mixed,mem,0.575
motor,mixed,0.6399999999999999
motor,mem,0.6099999999999999
mem,mixed,0.61
mem,motor,0.5400000000000001
mixed,motor,0.575
mixed,mem,0.585
motor,mixed,0.43500000000000005
motor,mem,0.30999999999999994
mem,mixed,0.29
mem,motor,0.295
mixed,motor,0.315
mixed,mem,0.4600000000000001
motor,mixed,0.4800000000000001
motor,mem,0.32999999999999996
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5250000000000001
mixed,mem,0.585
motor,mixed,0.745
motor,mem,0.5599999999999998
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.7899999999999999
mixed,mem,0.655
motor,mixed,0.5149999999999999
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.6599999999999999
mixed,mem,0.6500000000000001
motor,mixed,0.475
motor,mem,0.49000000000000005
mem,mixed,0.495
mem,motor,0.53
mixed,motor,0.395
mixed,mem,0.43500000000000005
motor,mixed,0.45000000000000007
motor,mem,0.5
mem,mixed,0.515
mem,motor,0.655
mixed,motor,0.51
mixed,mem,0.43500000000000005
motor,mixed,0.55
motor,mem,0.545
mem,mixed,0.495
mem,motor,0.495
mixed,motor,0.495
mixed,mem,0.505
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.63
mem,motor,0.5
mixed,motor,0.4800000000000001
mixed,mem,0.5
motor,mixed,0.58
motor,mem,0.45000000000000007
mem,mixed,0.45
mem,motor,0.30499999999999994
mixed,motor,0.615
mixed,mem,0.5149999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5849999999999999
mem,motor,0.525
mixed,motor,0.5199999999999999
mixed,mem,0.645
motor,mixed,0.6249999999999999
motor,mem,0.62
mem,mixed,0.51
mem,motor,0.5449999999999999
mixed,motor,0.52
mixed,mem,0.52
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.55
mem,motor,0.5900000000000001
mixed,motor,0.5050000000000001
mixed,mem,0.48500000000000004
motor,mixed,0.5349999999999999
motor,mem,0.5349999999999999
mem,mixed,0.55
mem,motor,0.55
mixed,motor,0.51
mixed,mem,0.395
motor,mixed,0.6599999999999999
motor,mem,0.6
mem,mixed,0.77
mem,motor,0.7300000000000001
mixed,motor,0.4800000000000001
mixed,mem,0.51
motor,mixed,0.655
motor,mem,0.7299999999999999
mem,mixed,0.53
mem,motor,0.49000000000000005
mixed,motor,0.4750000000000001
mixed,mem,0.5
motor,mixed,0.615
motor,mem,0.595
mem,mixed,0.5
mem,motor,0.45000000000000007
mixed,motor,0.41500000000000004
mixed,mem,0.49000000000000005
motor,mixed,0.66
