task,acc
mixed,0.495
motor,0.44499999999999995
mem,0.555
mixed,0.6300000000000001
motor,0.485
mem,0.49000000000000005
mixed,0.495
motor,0.495
mem,0.595
mixed,0.605
motor,0.525
mem,0.5900000000000001
mixed,0.595
motor,0.395
mem,0.5
mixed,0.5349999999999999
motor,0.5
mem,0.6399999999999999
mixed,0.53
motor,0.525
mem,0.6299999999999999
mixed,0.5149999999999999
motor,0.5
mem,0.62
mixed,0.475
motor,0.5
mem,0.53
mixed,0.725
motor,0.7899999999999998
mem,0.7849999999999999
mixed,0.655
motor,0.45500000000000007
mem,0.74
mixed,0.5850000000000002
motor,0.495
mem,0.47000000000000003
mixed,0.4950000000000001
motor,0.7649999999999999
mem,0.5700000000000001
mixed,0.7649999999999999
motor,0.5149999999999999
mem,0.515
mixed,0.5849999999999999
motor,0.39999999999999997
mem,0.42000000000000004
mixed,0.5
motor,0.51
mem,0.5
mixed,0.65
motor,0.7150000000000001
mem,0.5
mixed,0.705
motor,0.32
mem,0.5
mixed,0.575
motor,0.44000000000000006
mem,0.4800000000000001
mixed,0.45500000000000007
motor,0.505
mem,0.505
mixed,0.6449999999999999
motor,0.44499999999999995
mem,0.495
mixed,0.505
motor,0.5
mem,0.55
mixed,0.5
motor,0.59
mem,0.545
mixed,0.605
motor,0.5
mem,0.6250000000000002
mixed,0.6900000000000002
motor,0.6050000000000001
mem,0.595
mixed,0.515
motor,0.5
mem,0.57
mixed,0.47000000000000003
motor,0.5349999999999999
mem,0.5900000000000001
mixed,0.51
motor,0.65
mem,0.5599999999999999
mixed,0.51
motor,0.7549999999999999
mem,0.5349999999999999
mixed,0.5
motor,0.6849999999999999
mem,0.49000000000000005
mixed,0.5
motor,0.43500000000000005
mem,0.495
mixed,0.835
motor,0.59
mem,0.6950000000000001
mixed,0.505
motor,0.55
mem,0.5
mixed,0.51
motor,0.42000000000000004
mem,0.5449999999999999
mixed,0.5449999999999999
motor,0.5900000000000001
mem,0.52
mixed,0.53
motor,0.5849999999999999
mem,0.6250000000000002
mixed,0.7050000000000001
motor,0.6300000000000001
mem,0.5
mixed,0.55
motor,0.715
mem,0.43500000000000005
mixed,0.61
motor,0.5449999999999999
mem,0.5599999999999999
mixed,0.505
motor,0.51
mem,0.5
mixed,0.54
motor,0.67
mem,0.5
mixed,0.8150000000000001
motor,0.6900000000000001
mem,0.5149999999999999
mixed,0.52
motor,0.5
mem,0.5700000000000001
mixed,0.5299999999999999
motor,0.6649999999999999
mem,0.565
mixed,0.5
motor,0.515
mem,0.5
mixed,0.5149999999999999
motor,0.5
mem,0.55
mixed,0.5499999999999999
motor,0.5
mem,0.615
mixed,0.565
motor,0.61
mem,0.48500000000000004
mixed,0.6449999999999999
motor,0.5249999999999999
mem,0.675
mixed,0.5
motor,0.635
mem,0.52
mixed,0.7100000000000001
motor,0.5549999999999999
mem,0.505
mixed,0.505
motor,0.45500000000000007
mem,0.5
mixed,0.625
motor,0.505
mem,0.5
mixed,0.5
motor,0.5
mem,0.5149999999999999
mixed,0.6900000000000002
motor,0.7100000000000001
mem,0.545
mixed,0.56
motor,0.73
mem,0.645
