,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.47000000000000003
1,mixed,mem,MSC01,MSC02,0.41500000000000004
2,motor,mixed,MSC01,MSC02,0.675
3,motor,mem,MSC01,MSC02,0.4800000000000001
4,mem,mixed,MSC01,MSC02,0.53
5,mem,motor,MSC01,MSC02,0.36500000000000005
6,mixed,motor,MSC01,MSC03,0.5050000000000001
7,mixed,mem,MSC01,MSC03,0.445
8,motor,mixed,MSC01,MSC03,0.5599999999999999
9,motor,mem,MSC01,MSC03,0.49000000000000005
10,mem,mixed,MSC01,MSC03,0.7050000000000001
11,mem,motor,MSC01,MSC03,0.4800000000000001
12,mixed,motor,MSC01,MSC04,0.5449999999999999
13,mixed,mem,MSC01,MSC04,0.5
14,motor,mixed,MSC01,MSC04,0.5499999999999999
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.505
17,mem,motor,MSC01,MSC04,0.5499999999999999
18,mixed,motor,MSC01,MSC05,0.5
19,mixed,mem,MSC01,MSC05,0.5
20,motor,mixed,MSC01,MSC05,0.505
21,motor,mem,MSC01,MSC05,0.5
22,mem,mixed,MSC01,MSC05,0.5
23,mem,motor,MSC01,MSC05,0.5
24,mixed,motor,MSC01,MSC06,0.6950000000000001
25,mixed,mem,MSC01,MSC06,0.5499999999999999
26,motor,mixed,MSC01,MSC06,0.625
27,motor,mem,MSC01,MSC06,0.585
28,mem,mixed,MSC01,MSC06,0.585
29,mem,motor,MSC01,MSC06,0.6500000000000001
30,mixed,motor,MSC01,MSC07,0.74
31,mixed,mem,MSC01,MSC07,0.38
32,motor,mixed,MSC01,MSC07,0.5900000000000001
33,motor,mem,MSC01,MSC07,0.43
34,mem,mixed,MSC01,MSC07,0.5999999999999999
35,mem,motor,MSC01,MSC07,0.6450000000000001
36,mixed,motor,MSC01,MSC10,0.5399999999999999
37,mixed,mem,MSC01,MSC10,0.59
38,motor,mixed,MSC01,MSC10,0.5449999999999999
39,motor,mem,MSC01,MSC10,0.5499999999999999
40,mem,mixed,MSC01,MSC10,0.5549999999999999
41,mem,motor,MSC01,MSC10,0.5
42,mixed,motor,MSC02,MSC01,0.8049999999999999
43,mixed,mem,MSC02,MSC01,0.5799999999999998
44,motor,mixed,MSC02,MSC01,0.595
45,motor,mem,MSC02,MSC01,0.5349999999999999
46,mem,mixed,MSC02,MSC01,0.29999999999999993
47,mem,motor,MSC02,MSC01,0.37
48,mixed,motor,MSC02,MSC03,0.36
49,mixed,mem,MSC02,MSC03,0.34500000000000003
50,motor,mixed,MSC02,MSC03,0.51
51,motor,mem,MSC02,MSC03,0.585
52,mem,mixed,MSC02,MSC03,0.41
53,mem,motor,MSC02,MSC03,0.33
54,mixed,motor,MSC02,MSC04,0.6000000000000001
55,mixed,mem,MSC02,MSC04,0.6050000000000001
56,motor,mixed,MSC02,MSC04,0.6
57,motor,mem,MSC02,MSC04,0.555
58,mem,mixed,MSC02,MSC04,0.5
59,mem,motor,MSC02,MSC04,0.495
60,mixed,motor,MSC02,MSC05,0.5249999999999999
61,mixed,mem,MSC02,MSC05,0.5600000000000002
62,motor,mixed,MSC02,MSC05,0.4800000000000001
63,motor,mem,MSC02,MSC05,0.605
64,mem,mixed,MSC02,MSC05,0.5
65,mem,motor,MSC02,MSC05,0.495
66,mixed,motor,MSC02,MSC06,0.5549999999999999
67,mixed,mem,MSC02,MSC06,0.565
68,motor,mixed,MSC02,MSC06,0.4700000000000001
69,motor,mem,MSC02,MSC06,0.5549999999999999
70,mem,mixed,MSC02,MSC06,0.5
71,mem,motor,MSC02,MSC06,0.355
72,mixed,motor,MSC02,MSC07,0.5950000000000001
73,mixed,mem,MSC02,MSC07,0.4600000000000001
74,motor,mixed,MSC02,MSC07,0.53
75,motor,mem,MSC02,MSC07,0.505
76,mem,mixed,MSC02,MSC07,0.43
77,mem,motor,MSC02,MSC07,0.315
78,mixed,motor,MSC02,MSC10,0.445
79,mixed,mem,MSC02,MSC10,0.42000000000000004
80,motor,mixed,MSC02,MSC10,0.395
81,motor,mem,MSC02,MSC10,0.45000000000000007
82,mem,mixed,MSC02,MSC10,0.4800000000000001
83,mem,motor,MSC02,MSC10,0.5
84,mixed,motor,MSC03,MSC01,0.6950000000000001
85,mixed,mem,MSC03,MSC01,0.595
86,motor,mixed,MSC03,MSC01,0.565
87,motor,mem,MSC03,MSC01,0.5549999999999999
88,mem,mixed,MSC03,MSC01,0.5149999999999999
89,mem,motor,MSC03,MSC01,0.465
90,mixed,motor,MSC03,MSC02,0.51
91,mixed,mem,MSC03,MSC02,0.4750000000000001
