,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.665
1,MSC01,MSC02,motor,0.605
2,MSC01,MSC02,mem,0.30999999999999994
3,MSC01,MSC03,mixed,0.7100000000000002
4,MSC01,MSC03,motor,0.5549999999999999
5,MSC01,MSC03,mem,0.47000000000000003
6,MSC01,MSC04,mixed,0.5
7,MSC01,MSC04,motor,0.505
8,MSC01,MSC04,mem,0.505
9,MSC01,MSC05,mixed,0.505
10,MSC01,MSC05,motor,0.5149999999999999
11,MSC01,MSC05,mem,0.5
12,MSC01,MSC06,mixed,0.625
13,MSC01,MSC06,motor,0.685
14,MSC01,MSC06,mem,0.5499999999999999
15,MSC01,MSC07,mixed,0.565
16,MSC01,MSC07,motor,0.7200000000000001
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.595
19,MSC01,MSC10,motor,0.53
20,MSC01,MSC10,mem,0.59
21,MSC02,MSC01,mixed,0.685
22,MSC02,MSC01,motor,0.6850000000000002
23,MSC02,MSC01,mem,0.36
24,MSC02,MSC03,mixed,0.505
25,MSC02,MSC03,motor,0.5700000000000001
26,MSC02,MSC03,mem,0.45500000000000007
27,MSC02,MSC04,mixed,0.6799999999999999
28,MSC02,MSC04,motor,0.46499999999999997
29,MSC02,MSC04,mem,0.4800000000000001
30,MSC02,MSC05,mixed,0.5900000000000001
31,MSC02,MSC05,motor,0.565
32,MSC02,MSC05,mem,0.5
33,MSC02,MSC06,mixed,0.525
34,MSC02,MSC06,motor,0.52
35,MSC02,MSC06,mem,0.465
36,MSC02,MSC07,mixed,0.5700000000000001
37,MSC02,MSC07,motor,0.6000000000000001
38,MSC02,MSC07,mem,0.49000000000000005
39,MSC02,MSC10,mixed,0.43500000000000005
40,MSC02,MSC10,motor,0.495
41,MSC02,MSC10,mem,0.45000000000000007
42,MSC03,MSC01,mixed,0.7749999999999999
43,MSC03,MSC01,motor,0.655
44,MSC03,MSC01,mem,0.44000000000000006
45,MSC03,MSC02,mixed,0.565
46,MSC03,MSC02,motor,0.37
47,MSC03,MSC02,mem,0.655
48,MSC03,MSC04,mixed,0.5549999999999999
49,MSC03,MSC04,motor,0.535
50,MSC03,MSC04,mem,0.6000000000000001
51,MSC03,MSC05,mixed,0.5
52,MSC03,MSC05,motor,0.5399999999999999
53,MSC03,MSC05,mem,0.29
54,MSC03,MSC06,mixed,0.505
55,MSC03,MSC06,motor,0.505
56,MSC03,MSC06,mem,0.35
57,MSC03,MSC07,mixed,0.5199999999999999
58,MSC03,MSC07,motor,0.61
59,MSC03,MSC07,mem,0.305
60,MSC03,MSC10,mixed,0.58
61,MSC03,MSC10,motor,0.54
62,MSC03,MSC10,mem,0.355
63,MSC04,MSC01,mixed,0.6249999999999999
64,MSC04,MSC01,motor,0.47000000000000003
65,MSC04,MSC01,mem,0.5399999999999998
66,MSC04,MSC02,mixed,0.5399999999999999
67,MSC04,MSC02,motor,0.46499999999999997
68,MSC04,MSC02,mem,0.535
69,MSC04,MSC03,mixed,0.59
70,MSC04,MSC03,motor,0.4450000000000001
71,MSC04,MSC03,mem,0.5199999999999999
72,MSC04,MSC05,mixed,0.58
73,MSC04,MSC05,motor,0.48
74,MSC04,MSC05,mem,0.57
75,MSC04,MSC06,mixed,0.645
76,MSC04,MSC06,motor,0.52
77,MSC04,MSC06,mem,0.43500000000000005
78,MSC04,MSC07,mixed,0.525
