,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9
1,mixed,mem,MSC01,0.715
2,motor,mixed,MSC01,0.95
3,motor,mem,MSC01,0.7699999999999999
4,mem,mixed,MSC01,0.8550000000000001
5,mem,motor,MSC01,0.85
6,mixed,motor,MSC02,0.6699999999999999
7,mixed,mem,MSC02,0.635
8,motor,mixed,MSC02,0.805
9,motor,mem,MSC02,0.66
10,mem,mixed,MSC02,0.76
11,mem,motor,MSC02,0.7399999999999999
12,mixed,motor,MSC03,0.705
13,mixed,mem,MSC03,0.6000000000000001
14,motor,mixed,MSC03,0.825
15,motor,mem,MSC03,0.63
16,mem,mixed,MSC03,0.67
17,mem,motor,MSC03,0.6199999999999999
18,mixed,motor,MSC04,0.7499999999999999
19,mixed,mem,MSC04,0.5499999999999999
20,motor,mixed,MSC04,0.95
21,motor,mem,MSC04,0.6400000000000001
22,mem,mixed,MSC04,0.85
23,mem,motor,MSC04,0.82
24,mixed,motor,MSC05,0.5700000000000001
25,mixed,mem,MSC05,0.5450000000000002
26,motor,mixed,MSC05,0.665
27,motor,mem,MSC05,0.495
28,mem,mixed,MSC05,0.635
29,mem,motor,MSC05,0.57
30,mixed,motor,MSC06,0.85
31,mixed,mem,MSC06,0.55
32,motor,mixed,MSC06,0.77
33,motor,mem,MSC06,0.6050000000000001
34,mem,mixed,MSC06,0.7150000000000001
35,mem,motor,MSC06,0.8
36,mixed,motor,MSC07,0.8
37,mixed,mem,MSC07,0.4400000000000001
38,motor,mixed,MSC07,0.6100000000000001
39,motor,mem,MSC07,0.425
40,mem,mixed,MSC07,0.375
41,mem,motor,MSC07,0.43000000000000005
42,mixed,motor,MSC10,0.54
43,mixed,mem,MSC10,0.64
44,motor,mixed,MSC10,0.6199999999999999
45,motor,mem,MSC10,0.615
46,mem,mixed,MSC10,0.6199999999999999
47,mem,motor,MSC10,0.4600000000000001
