,Network,Acc,Features,z_score
0,unassign,0.6052083333333333,14808,-3.893219666543372
1,default,0.6869642857142858,10824,-3.8114637141624197
2,visual,0.6310119047619048,8736,-3.8674160951148004
3,fp,0.6658333333333333,4620,-3.832594666543372
4,dan,0.6375892857142856,5264,-3.8608387141624196
5,van,0.5938690476190475,3151,-3.904558952257658
6,salience,0.6130357142857144,484,-3.8853922855909913
7,co,0.6426339285714286,4060,-3.8557940713052767
8,sm,0.5745833333333333,2375,-3.923844666543372
9,sm-lat,0.567485119047619,316,-3.9309428808290865
10,auditory,0.5601785714285713,564,-3.938249428448134
11,pmn,0.5382142857142858,45,-3.9602137141624194
12,pon,0.5266964285714285,21,-3.971731571305277
