,Network,Acc,Features,z_score
0,unassign,0.9166666666666666,14808,-9.491290341430203
1,default,0.9708333333333333,10824,-9.437123674763535
2,visual,0.9645833333333332,8736,-9.443373674763535
3,fp,0.9729166666666668,4620,-9.435040341430202
4,dan,0.975,5264,-9.432957008096869
5,van,0.9562499999999999,3151,-9.451707008096868
6,salience,0.8916666666666666,484,-9.516290341430203
7,co,0.9562499999999999,4060,-9.451707008096868
8,sm,0.9395833333333332,2375,-9.468373674763535
9,sm-lat,0.8479166666666668,316,-9.560040341430202
10,auditory,0.8354166666666666,564,-9.572540341430201
11,pmn,0.80625,45,-9.601707008096868
12,pon,0.7229166666666668,21,-9.685040341430202
