task,acc
mixed,0.5299999999999999
motor,0.5499999999999999
mem,0.305
mixed,0.64
motor,0.54
mem,0.425
mixed,0.7100000000000001
motor,0.5700000000000001
mem,0.5499999999999999
mixed,0.5449999999999999
motor,0.5
mem,0.5
mixed,0.7150000000000001
motor,0.75
mem,0.5349999999999999
mixed,0.5599999999999999
motor,0.74
mem,0.425
mixed,0.6500000000000001
motor,0.565
mem,0.595
mixed,0.78
motor,0.6900000000000002
mem,0.37499999999999994
mixed,0.5
motor,0.53
mem,0.5399999999999999
mixed,0.735
motor,0.49499999999999994
mem,0.49000000000000005
mixed,0.5799999999999998
motor,0.585
mem,0.5
mixed,0.5900000000000001
motor,0.5599999999999998
mem,0.45500000000000007
mixed,0.535
motor,0.6050000000000001
mem,0.495
mixed,0.53
motor,0.505
mem,0.45000000000000007
mixed,0.7350000000000001
motor,0.68
mem,0.39
mixed,0.655
motor,0.33999999999999997
mem,0.58
mixed,0.55
motor,0.52
mem,0.40499999999999997
mixed,0.5
motor,0.515
mem,0.45500000000000007
mixed,0.5
motor,0.5750000000000002
mem,0.43000000000000005
mixed,0.5199999999999999
motor,0.645
mem,0.425
mixed,0.5449999999999999
motor,0.53
mem,0.48500000000000004
mixed,0.745
motor,0.5
mem,0.62
mixed,0.505
motor,0.505
mem,0.5599999999999999
mixed,0.5149999999999999
motor,0.5
mem,0.45500000000000007
mixed,0.6450000000000001
motor,0.55
mem,0.6100000000000001
mixed,0.6599999999999999
motor,0.5199999999999999
mem,0.485
mixed,0.6450000000000001
motor,0.625
mem,0.43499999999999994
mixed,0.585
motor,0.305
mem,0.36
mixed,0.6050000000000001
motor,0.645
mem,0.585
mixed,0.5
motor,0.515
mem,0.49000000000000005
mixed,0.5
motor,0.45999999999999996
mem,0.36
mixed,0.785
motor,0.61
mem,0.6950000000000001
mixed,0.55
motor,0.53
mem,0.49000000000000005
mixed,0.5999999999999999
motor,0.685
mem,0.53
mixed,0.5
motor,0.47000000000000003
mem,0.43500000000000005
mixed,0.9349999999999999
motor,0.6399999999999999
mem,0.565
mixed,0.475
motor,0.4600000000000001
mem,0.44000000000000006
mixed,0.5
motor,0.43500000000000005
mem,0.365
mixed,0.8300000000000001
motor,0.4
mem,0.495
mixed,0.76
motor,0.635
mem,0.5
mixed,0.645
motor,0.655
mem,0.55
mixed,0.6950000000000001
motor,0.58
mem,0.605
mixed,0.8550000000000001
motor,0.885
mem,0.6100000000000001
mixed,0.5449999999999999
motor,0.46499999999999997
mem,0.37
mixed,0.55
motor,0.51
mem,0.29000000000000004
mixed,0.635
motor,0.6099999999999999
mem,0.32999999999999996
mixed,0.5599999999999999
motor,0.5
mem,0.58
mixed,0.675
motor,0.7150000000000001
mem,0.62
mixed,0.57
motor,0.5900000000000001
mem,0.5050000000000001
mixed,0.7250000000000001
motor,0.53
mem,0.4
mixed,0.51
motor,0.5349999999999999
mem,0.43
mixed,0.5
motor,0.5
mem,0.5349999999999999
mixed,0.8299999999999998
motor,0.23000000000000004
mem,0.475
mixed,0.58
motor,0.54
mem,0.51
mixed,0.6700000000000002
motor,0.575
mem,0.61
mixed,0.5549999999999999
motor,0.5
mem,0.495
