,Network,Acc,Features,z_score
0,unassign,0.7302083333333332,14808,-4.251882907637526
1,default,0.8051041666666666,10824,-4.1769870743041935
2,visual,0.7301041666666667,8736,-4.251987074304193
3,fp,0.8373958333333332,4620,-4.144695407637527
4,dan,0.8033333333333333,5264,-4.178757907637526
5,van,0.7958333333333334,3151,-4.186257907637526
6,salience,0.7545833333333333,484,-4.227507907637526
7,co,0.7994791666666666,4060,-4.182612074304193
8,sm,0.7442708333333333,2375,-4.2378204076375265
9,sm-lat,0.6885416666666666,316,-4.293549574304193
10,auditory,0.7057291666666666,564,-4.276362074304193
11,pmn,0.6941666666666667,45,-4.287924574304193
12,pon,0.6747916666666667,21,-4.307299574304193
