,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.8049999999999999
1,mixed,mem,MSC01,0.8200000000000001
2,motor,mixed,MSC01,0.8499999999999999
3,motor,mem,MSC01,0.7000000000000001
4,mem,mixed,MSC01,0.95
5,mem,motor,MSC01,0.8299999999999998
6,mixed,motor,MSC02,0.6950000000000001
7,mixed,mem,MSC02,0.7699999999999999
8,motor,mixed,MSC02,0.5399999999999999
9,motor,mem,MSC02,0.5349999999999999
10,mem,mixed,MSC02,0.7799999999999999
11,mem,motor,MSC02,0.45999999999999996
12,mixed,motor,MSC03,0.825
13,mixed,mem,MSC03,0.8699999999999999
14,motor,mixed,MSC03,0.57
15,motor,mem,MSC03,0.5850000000000001
16,mem,mixed,MSC03,0.875
17,mem,motor,MSC03,0.6950000000000001
18,mixed,motor,MSC04,0.8549999999999999
19,mixed,mem,MSC04,0.925
20,motor,mixed,MSC04,0.755
21,motor,mem,MSC04,0.7300000000000001
22,mem,mixed,MSC04,0.8850000000000001
23,mem,motor,MSC04,0.86
24,mixed,motor,MSC05,0.64
25,mixed,mem,MSC05,0.9550000000000001
26,motor,mixed,MSC05,0.675
27,motor,mem,MSC05,0.78
28,mem,mixed,MSC05,0.9000000000000001
29,mem,motor,MSC05,0.8699999999999999
30,mixed,motor,MSC06,0.825
31,mixed,mem,MSC06,0.9350000000000002
32,motor,mixed,MSC06,0.5
33,motor,mem,MSC06,0.585
34,mem,mixed,MSC06,0.7200000000000001
35,mem,motor,MSC06,0.7849999999999999
36,mixed,motor,MSC07,0.575
37,mixed,mem,MSC07,0.85
38,motor,mixed,MSC07,0.68
39,motor,mem,MSC07,0.645
40,mem,mixed,MSC07,0.9550000000000001
41,mem,motor,MSC07,0.7050000000000001
42,mixed,motor,MSC10,0.6900000000000001
43,mixed,mem,MSC10,0.7299999999999999
44,motor,mixed,MSC10,0.735
45,motor,mem,MSC10,0.5800000000000001
46,mem,mixed,MSC10,0.8550000000000001
47,mem,motor,MSC10,0.7150000000000001
