,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.575
1,MSC01,MSC02,motor,0.7499999999999999
2,MSC01,MSC02,mem,0.7350000000000001
3,MSC01,MSC03,mixed,0.59
4,MSC01,MSC03,motor,0.59
5,MSC01,MSC03,mem,0.575
6,MSC01,MSC04,mixed,0.76
7,MSC01,MSC04,motor,0.7899999999999999
8,MSC01,MSC04,mem,0.645
9,MSC01,MSC05,mixed,0.59
10,MSC01,MSC05,motor,0.5599999999999998
11,MSC01,MSC05,mem,0.8149999999999998
12,MSC01,MSC06,mixed,0.4800000000000001
13,MSC01,MSC06,motor,0.615
14,MSC01,MSC06,mem,0.6500000000000001
15,MSC01,MSC07,mixed,0.8299999999999998
16,MSC01,MSC07,motor,0.735
17,MSC01,MSC07,mem,0.735
18,MSC01,MSC10,mixed,0.725
19,MSC01,MSC10,motor,0.7999999999999999
20,MSC01,MSC10,mem,0.7250000000000001
21,MSC02,MSC01,mixed,0.56
22,MSC02,MSC01,motor,0.5999999999999999
23,MSC02,MSC01,mem,0.825
24,MSC02,MSC03,mixed,0.715
25,MSC02,MSC03,motor,0.665
26,MSC02,MSC03,mem,0.765
27,MSC02,MSC04,mixed,0.745
28,MSC02,MSC04,motor,0.675
29,MSC02,MSC04,mem,0.6900000000000002
30,MSC02,MSC05,mixed,0.5449999999999999
31,MSC02,MSC05,motor,0.5499999999999999
32,MSC02,MSC05,mem,0.8400000000000001
33,MSC02,MSC06,mixed,0.8049999999999999
34,MSC02,MSC06,motor,0.725
35,MSC02,MSC06,mem,0.7150000000000001
36,MSC02,MSC07,mixed,0.8099999999999999
37,MSC02,MSC07,motor,0.5899999999999999
38,MSC02,MSC07,mem,0.7999999999999999
39,MSC02,MSC10,mixed,0.6450000000000001
40,MSC02,MSC10,motor,0.6199999999999999
41,MSC02,MSC10,mem,0.6150000000000001
42,MSC03,MSC01,mixed,0.5
43,MSC03,MSC01,motor,0.5399999999999999
44,MSC03,MSC01,mem,0.64
45,MSC03,MSC02,mixed,0.73
46,MSC03,MSC02,motor,0.5599999999999999
47,MSC03,MSC02,mem,0.6549999999999999
48,MSC03,MSC04,mixed,0.5
49,MSC03,MSC04,motor,0.8700000000000001
50,MSC03,MSC04,mem,0.76
51,MSC03,MSC05,mixed,0.51
52,MSC03,MSC05,motor,0.7949999999999999
53,MSC03,MSC05,mem,0.9400000000000001
54,MSC03,MSC06,mixed,0.7200000000000001
55,MSC03,MSC06,motor,0.6450000000000001
56,MSC03,MSC06,mem,0.8749999999999998
57,MSC03,MSC07,mixed,0.645
58,MSC03,MSC07,motor,0.575
59,MSC03,MSC07,mem,0.655
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.45
62,MSC03,MSC10,mem,0.725
63,MSC04,MSC01,mixed,0.6900000000000001
64,MSC04,MSC01,motor,0.75
65,MSC04,MSC01,mem,0.58
66,MSC04,MSC02,mixed,0.7899999999999999
67,MSC04,MSC02,motor,0.5199999999999999
68,MSC04,MSC02,mem,0.5599999999999999
69,MSC04,MSC03,mixed,0.685
70,MSC04,MSC03,motor,0.9000000000000001
71,MSC04,MSC03,mem,0.705
72,MSC04,MSC05,mixed,0.585
73,MSC04,MSC05,motor,0.59
