,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.8400000000000001
1,mixed,mem,MSC01,0.85
2,motor,mixed,MSC01,0.89
3,motor,mem,MSC01,0.7649999999999999
4,mem,mixed,MSC01,0.9
5,mem,motor,MSC01,0.8950000000000001
6,mixed,motor,MSC02,0.7
7,mixed,mem,MSC02,0.825
8,motor,mixed,MSC02,0.5599999999999999
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.7799999999999999
11,mem,motor,MSC02,0.48999999999999994
12,mixed,motor,MSC03,0.7849999999999999
13,mixed,mem,MSC03,0.7999999999999999
14,motor,mixed,MSC03,0.5499999999999999
15,motor,mem,MSC03,0.5549999999999999
16,mem,mixed,MSC03,0.905
17,mem,motor,MSC03,0.8549999999999999
18,mixed,motor,MSC04,0.82
19,mixed,mem,MSC04,0.915
20,motor,mixed,MSC04,0.74
21,motor,mem,MSC04,0.7000000000000001
22,mem,mixed,MSC04,0.8800000000000001
23,mem,motor,MSC04,0.845
24,mixed,motor,MSC05,0.6950000000000001
25,mixed,mem,MSC05,0.9949999999999999
26,motor,mixed,MSC05,0.74
27,motor,mem,MSC05,0.7999999999999999
28,mem,mixed,MSC05,0.9000000000000001
29,mem,motor,MSC05,0.865
30,mixed,motor,MSC06,0.755
31,mixed,mem,MSC06,0.9100000000000001
32,motor,mixed,MSC06,0.5
33,motor,mem,MSC06,0.595
34,mem,mixed,MSC06,0.635
35,mem,motor,MSC06,0.7449999999999999
36,mixed,motor,MSC07,0.6
37,mixed,mem,MSC07,0.85
38,motor,mixed,MSC07,0.6200000000000001
39,motor,mem,MSC07,0.62
40,mem,mixed,MSC07,0.9
41,mem,motor,MSC07,0.685
42,mixed,motor,MSC10,0.7549999999999999
43,mixed,mem,MSC10,0.72
44,motor,mixed,MSC10,0.71
45,motor,mem,MSC10,0.56
46,mem,mixed,MSC10,0.835
47,mem,motor,MSC10,0.67
