train_task,test_task,acc
mixed,motor,0.89
mixed,mem,0.8750000000000002
motor,mixed,0.8699999999999999
motor,mem,0.745
mem,mixed,0.9049999999999999
mem,motor,0.8550000000000001
mixed,motor,0.7
mixed,mem,0.7749999999999999
motor,mixed,0.5449999999999999
motor,mem,0.54
mem,mixed,0.7799999999999999
mem,motor,0.515
mixed,motor,0.825
mixed,mem,0.845
motor,mixed,0.6
motor,mem,0.59
mem,mixed,0.89
mem,motor,0.7150000000000001
mixed,motor,0.865
mixed,mem,0.925
motor,mixed,0.74
motor,mem,0.7050000000000001
mem,mixed,0.89
mem,motor,0.8299999999999998
mixed,motor,0.6249999999999999
mixed,mem,0.9550000000000001
motor,mixed,0.7150000000000001
motor,mem,0.7999999999999999
mem,mixed,0.8950000000000001
mem,motor,0.8850000000000001
mixed,motor,0.8099999999999999
mixed,mem,0.93
motor,mixed,0.505
motor,mem,0.51
mem,mixed,0.7050000000000001
mem,motor,0.7949999999999999
mixed,motor,0.6500000000000001
mixed,mem,0.915
motor,mixed,0.64
motor,mem,0.6500000000000001
mem,mixed,0.95
mem,motor,0.74
mixed,motor,0.71
mixed,mem,0.7399999999999999
motor,mixed,0.71
motor,mem,0.52
mem,mixed,0.8200000000000001
mem,motor,0.635
