,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.6599999999999999
1,MSC01,MSC02,motor,0.665
2,MSC01,MSC02,mem,0.5
3,MSC01,MSC03,mixed,0.5399999999999999
4,MSC01,MSC03,motor,0.6199999999999999
5,MSC01,MSC03,mem,0.19499999999999998
6,MSC01,MSC04,mixed,0.635
7,MSC01,MSC04,motor,0.7000000000000001
8,MSC01,MSC04,mem,0.545
9,MSC01,MSC05,mixed,0.755
10,MSC01,MSC05,motor,0.555
11,MSC01,MSC05,mem,0.6499999999999999
12,MSC01,MSC06,mixed,0.6399999999999999
13,MSC01,MSC06,motor,0.665
14,MSC01,MSC06,mem,0.62
15,MSC01,MSC07,mixed,0.6
16,MSC01,MSC07,motor,0.45000000000000007
17,MSC01,MSC07,mem,0.5
18,MSC01,MSC10,mixed,0.8150000000000001
19,MSC01,MSC10,motor,0.6
20,MSC01,MSC10,mem,0.5399999999999999
21,MSC02,MSC01,mixed,0.6149999999999999
22,MSC02,MSC01,motor,0.76
23,MSC02,MSC01,mem,0.5599999999999999
24,MSC02,MSC03,mixed,0.6300000000000001
25,MSC02,MSC03,motor,0.7999999999999999
26,MSC02,MSC03,mem,0.7000000000000001
27,MSC02,MSC04,mixed,0.5399999999999999
28,MSC02,MSC04,motor,0.8900000000000002
29,MSC02,MSC04,mem,0.565
30,MSC02,MSC05,mixed,0.5299999999999999
31,MSC02,MSC05,motor,0.96
32,MSC02,MSC05,mem,0.685
33,MSC02,MSC06,mixed,0.58
34,MSC02,MSC06,motor,0.7000000000000001
35,MSC02,MSC06,mem,0.6700000000000002
36,MSC02,MSC07,mixed,0.5499999999999999
37,MSC02,MSC07,motor,0.745
38,MSC02,MSC07,mem,0.5549999999999999
39,MSC02,MSC10,mixed,0.62
40,MSC02,MSC10,motor,0.75
41,MSC02,MSC10,mem,0.6950000000000001
42,MSC03,MSC01,mixed,0.495
43,MSC03,MSC01,motor,0.41000000000000003
44,MSC03,MSC01,mem,0.40499999999999997
45,MSC03,MSC02,mixed,0.57
46,MSC03,MSC02,motor,0.905
47,MSC03,MSC02,mem,0.6900000000000001
48,MSC03,MSC04,mixed,0.5
49,MSC03,MSC04,motor,0.82
50,MSC03,MSC04,mem,0.505
51,MSC03,MSC05,mixed,0.8950000000000001
52,MSC03,MSC05,motor,0.9549999999999998
53,MSC03,MSC05,mem,0.8549999999999999
54,MSC03,MSC06,mixed,0.61
55,MSC03,MSC06,motor,0.7649999999999999
56,MSC03,MSC06,mem,0.6450000000000001
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.7899999999999999
59,MSC03,MSC07,mem,0.5
60,MSC03,MSC10,mixed,0.67
61,MSC03,MSC10,motor,0.9149999999999998
62,MSC03,MSC10,mem,0.655
63,MSC04,MSC01,mixed,0.68
64,MSC04,MSC01,motor,0.6950000000000001
65,MSC04,MSC01,mem,0.6299999999999999
66,MSC04,MSC02,mixed,0.7050000000000001
67,MSC04,MSC02,motor,0.9949999999999999
68,MSC04,MSC02,mem,0.86
69,MSC04,MSC03,mixed,0.505
70,MSC04,MSC03,motor,0.9050000000000002
71,MSC04,MSC03,mem,0.5900000000000001
72,MSC04,MSC05,mixed,0.82
73,MSC04,MSC05,motor,0.915
74,MSC04,MSC05,mem,0.86
75,MSC04,MSC06,mixed,0.835
76,MSC04,MSC06,motor,0.7899999999999999
77,MSC04,MSC06,mem,0.82
78,MSC04,MSC07,mixed,0.625
79,MSC04,MSC07,motor,0.8099999999999999
80,MSC04,MSC07,mem,0.5549999999999999
81,MSC04,MSC10,mixed,0.5399999999999999
82,MSC04,MSC10,motor,0.915
83,MSC04,MSC10,mem,0.9500000000000002
84,MSC05,MSC01,mixed,0.5199999999999999
85,MSC05,MSC01,motor,0.6549999999999999
86,MSC05,MSC01,mem,0.745
87,MSC05,MSC02,mixed,0.5499999999999999
88,MSC05,MSC02,motor,1.0
89,MSC05,MSC02,mem,0.6950000000000001
90,MSC05,MSC03,mixed,0.73
91,MSC05,MSC03,motor,0.9400000000000001
92,MSC05,MSC03,mem,0.7050000000000001
93,MSC05,MSC04,mixed,0.5599999999999999
94,MSC05,MSC04,motor,0.76
95,MSC05,MSC04,mem,0.6
96,MSC05,MSC06,mixed,0.7949999999999999
97,MSC05,MSC06,motor,0.885
98,MSC05,MSC06,mem,0.945
99,MSC05,MSC07,mixed,0.6400000000000001
100,MSC05,MSC07,motor,0.775
