train_task,test_task,acc
mixed,motor,0.7999999999999999
mixed,mem,0.875
motor,mixed,0.53
motor,mem,0.615
mem,mixed,0.8950000000000001
mem,motor,0.72
mixed,motor,0.7450000000000001
mixed,mem,0.76
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.655
mem,motor,0.6100000000000001
mixed,motor,0.975
mixed,mem,0.9400000000000001
motor,mixed,0.5949999999999999
motor,mem,0.655
mem,mixed,0.7000000000000001
mem,motor,0.8149999999999998
mixed,motor,0.845
mixed,mem,0.975
motor,mixed,0.5449999999999999
motor,mem,0.5499999999999999
mem,mixed,0.8800000000000001
mem,motor,0.7350000000000001
mixed,motor,0.9099999999999999
mixed,mem,1.0
motor,mixed,0.5
motor,mem,0.565
mem,mixed,0.925
mem,motor,0.7999999999999999
mixed,motor,0.7999999999999999
mixed,mem,0.9899999999999999
motor,mixed,0.5799999999999998
motor,mem,0.6450000000000001
mem,mixed,0.9400000000000001
mem,motor,0.7000000000000001
mixed,motor,0.575
mixed,mem,0.9349999999999999
motor,mixed,0.525
motor,mem,0.5
mem,mixed,0.9249999999999998
mem,motor,0.685
mixed,motor,0.8549999999999999
mixed,mem,0.96
motor,mixed,0.6650000000000001
motor,mem,0.6199999999999999
mem,mixed,0.8950000000000001
mem,motor,0.8850000000000001
