,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.765
1,mixed,mem,MSC01,0.8800000000000001
2,motor,mixed,MSC01,0.565
3,motor,mem,MSC01,0.635
4,mem,mixed,MSC01,0.8800000000000001
5,mem,motor,MSC01,0.6950000000000001
6,mixed,motor,MSC02,0.655
7,mixed,mem,MSC02,0.7050000000000001
8,motor,mixed,MSC02,0.5
9,motor,mem,MSC02,0.5
10,mem,mixed,MSC02,0.6500000000000001
11,mem,motor,MSC02,0.6100000000000001
12,mixed,motor,MSC03,0.9800000000000001
13,mixed,mem,MSC03,0.945
14,motor,mixed,MSC03,0.5949999999999999
15,motor,mem,MSC03,0.68
16,mem,mixed,MSC03,0.705
17,mem,motor,MSC03,0.8400000000000002
18,mixed,motor,MSC04,0.86
19,mixed,mem,MSC04,0.97
20,motor,mixed,MSC04,0.5449999999999999
21,motor,mem,MSC04,0.5499999999999999
22,mem,mixed,MSC04,0.8649999999999999
23,mem,motor,MSC04,0.74
24,mixed,motor,MSC05,0.905
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.5
27,motor,mem,MSC05,0.5549999999999999
28,mem,mixed,MSC05,0.9000000000000001
29,mem,motor,MSC05,0.8099999999999999
30,mixed,motor,MSC06,0.7999999999999999
31,mixed,mem,MSC06,0.975
32,motor,mixed,MSC06,0.6200000000000001
33,motor,mem,MSC06,0.6699999999999999
34,mem,mixed,MSC06,0.9400000000000001
35,mem,motor,MSC06,0.7150000000000001
36,mixed,motor,MSC07,0.49499999999999994
37,mixed,mem,MSC07,0.835
38,motor,mixed,MSC07,0.45999999999999996
39,motor,mem,MSC07,0.45499999999999996
40,mem,mixed,MSC07,0.8699999999999999
41,mem,motor,MSC07,0.64
42,mixed,motor,MSC10,0.9100000000000001
43,mixed,mem,MSC10,0.9550000000000001
44,motor,mixed,MSC10,0.74
45,motor,mem,MSC10,0.6599999999999999
46,mem,mixed,MSC10,0.9099999999999999
47,mem,motor,MSC10,0.905
