train_task,test_task,acc
mixed,motor,0.43000000000000005
mixed,mem,0.5599999999999998
motor,mixed,0.65
motor,mem,0.645
mem,mixed,0.5449999999999999
mem,motor,0.34500000000000003
mixed,motor,0.5
mixed,mem,0.5
motor,mixed,0.545
motor,mem,0.30500000000000005
mem,mixed,0.4
mem,motor,0.22500000000000003
mixed,motor,0.5
mixed,mem,0.55
motor,mixed,0.6850000000000002
motor,mem,0.6950000000000001
mem,mixed,0.6950000000000001
mem,motor,0.45000000000000007
mixed,motor,0.4450000000000001
mixed,mem,0.8149999999999998
motor,mixed,0.615
motor,mem,0.635
mem,mixed,0.5850000000000001
mem,motor,0.30000000000000004
mixed,motor,0.505
mixed,mem,0.725
motor,mixed,0.635
motor,mem,0.725
mem,mixed,0.6699999999999999
mem,motor,0.525
mixed,motor,0.42000000000000004
mixed,mem,0.6249999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.185
mixed,motor,0.5199999999999999
mixed,mem,0.8549999999999999
motor,mixed,0.39999999999999997
motor,mem,0.5399999999999999
mem,mixed,0.44000000000000006
mem,motor,0.1
mixed,motor,0.5899999999999999
mixed,mem,0.625
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.525
mem,motor,0.715
mixed,motor,0.495
mixed,mem,0.51
motor,mixed,0.5
motor,mem,0.5399999999999999
mem,mixed,0.515
mem,motor,0.5549999999999999
mixed,motor,0.55
mixed,mem,0.505
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.565
mem,motor,0.64
mixed,motor,0.7900000000000001
mixed,mem,0.53
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.625
mem,motor,0.7300000000000001
mixed,motor,0.575
mixed,mem,0.55
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.62
mixed,motor,0.565
mixed,mem,0.61
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.565
mem,motor,0.675
mixed,motor,0.49000000000000005
mixed,mem,0.5349999999999999
motor,mixed,0.5199999999999999
motor,mem,0.495
mem,mixed,0.725
mem,motor,0.705
mixed,motor,0.39999999999999997
mixed,mem,0.36
motor,mixed,0.355
motor,mem,0.215
mem,mixed,0.39
mem,motor,0.355
mixed,motor,0.875
mixed,mem,0.6399999999999999
motor,mixed,0.425
motor,mem,0.46499999999999997
mem,mixed,0.545
mem,motor,0.66
mixed,motor,0.6599999999999999
mixed,mem,0.6950000000000001
motor,mixed,0.45000000000000007
motor,mem,0.495
mem,mixed,0.36
mem,motor,0.465
mixed,motor,0.925
mixed,mem,0.9149999999999998
