train_task,test_task,acc
mixed,motor,0.8049999999999999
mixed,mem,0.875
motor,mixed,0.53
motor,mem,0.615
mem,mixed,0.915
mem,motor,0.735
mixed,motor,0.7450000000000001
mixed,mem,0.76
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.655
mem,motor,0.6100000000000001
mixed,motor,0.975
mixed,mem,0.9400000000000001
motor,mixed,0.5899999999999999
motor,mem,0.645
mem,mixed,0.7000000000000001
mem,motor,0.8099999999999999
mixed,motor,0.85
mixed,mem,0.975
motor,mixed,0.5499999999999999
motor,mem,0.5499999999999999
mem,mixed,0.9
mem,motor,0.745
mixed,motor,0.905
mixed,mem,1.0
motor,mixed,0.505
motor,mem,0.53
mem,mixed,0.925
mem,motor,0.8049999999999999
mixed,motor,0.82
mixed,mem,0.9949999999999999
motor,mixed,0.585
motor,mem,0.6450000000000001
mem,mixed,0.9400000000000001
mem,motor,0.7050000000000001
mixed,motor,0.5799999999999998
mixed,mem,0.9349999999999999
motor,mixed,0.5199999999999999
motor,mem,0.5
mem,mixed,0.9249999999999998
mem,motor,0.6900000000000001
mixed,motor,0.8300000000000001
mixed,mem,0.9799999999999999
motor,mixed,0.635
motor,mem,0.5499999999999999
mem,mixed,0.8800000000000001
mem,motor,0.8399999999999999
