task,acc
mixed,0.735
motor,0.9400000000000001
mem,0.9349999999999999
mixed,0.68
motor,0.7449999999999999
mem,0.755
mixed,0.875
motor,0.7
mem,0.63
mixed,0.9199999999999999
motor,1.0
mem,0.9
mixed,0.595
motor,0.9399999999999998
mem,0.96
mixed,0.82
motor,0.875
mem,0.8550000000000001
mixed,0.7449999999999999
motor,0.78
mem,0.8349999999999997
mixed,0.8949999999999999
motor,0.865
mem,0.9800000000000001
mixed,0.745
motor,0.8950000000000001
mem,0.7949999999999998
mixed,0.875
motor,0.985
mem,0.9799999999999999
mixed,0.9349999999999999
motor,0.9099999999999999
mem,0.8699999999999999
mixed,0.7849999999999999
motor,0.7999999999999999
mem,0.89
mixed,0.8400000000000001
motor,0.8249999999999998
mem,0.8700000000000001
mixed,0.7050000000000001
motor,0.915
mem,0.8299999999999998
mixed,0.5449999999999999
motor,0.7249999999999999
mem,0.82
mixed,0.7449999999999999
motor,0.5850000000000001
mem,0.7150000000000001
mixed,0.59
motor,0.9649999999999999
mem,0.8249999999999998
mixed,0.865
motor,0.9549999999999998
mem,0.9400000000000001
mixed,0.51
motor,0.6649999999999999
mem,0.78
mixed,0.5
motor,0.93
mem,0.6650000000000001
mixed,0.5149999999999999
motor,0.925
mem,0.8699999999999999
mixed,0.945
motor,0.9550000000000001
mem,0.99
mixed,0.8450000000000001
motor,0.875
mem,0.905
mixed,0.6350000000000001
motor,0.7849999999999999
mem,0.6300000000000001
mixed,0.9349999999999999
motor,0.9100000000000001
mem,0.9200000000000002
mixed,0.725
motor,0.67
mem,0.97
mixed,0.62
motor,1.0
mem,0.9
mixed,0.78
motor,0.85
mem,0.9100000000000001
mixed,0.59
motor,0.9899999999999999
mem,0.9650000000000001
mixed,0.6149999999999999
motor,0.9400000000000001
mem,0.905
mixed,0.8699999999999999
motor,0.9550000000000001
mem,1.0
mixed,0.8300000000000001
motor,0.95
mem,0.93
mixed,0.9349999999999999
motor,0.96
mem,0.9949999999999999
mixed,0.7649999999999999
motor,0.745
mem,0.7050000000000001
mixed,0.8950000000000001
motor,0.745
mem,0.95
mixed,0.9349999999999999
motor,0.9
mem,0.99
mixed,0.735
motor,0.7450000000000001
mem,0.7849999999999999
mixed,0.5799999999999998
motor,0.6849999999999999
mem,0.8
mixed,0.715
motor,0.795
mem,0.7750000000000001
mixed,0.735
motor,0.9949999999999999
mem,0.9
mixed,0.915
motor,0.8049999999999999
mem,0.9650000000000001
mixed,0.78
motor,0.775
mem,0.8900000000000002
mixed,0.9349999999999999
motor,0.72
mem,1.0
mixed,0.7799999999999999
motor,0.8699999999999999
mem,0.925
mixed,0.605
motor,0.875
mem,0.8699999999999999
mixed,0.61
motor,0.86
mem,0.875
mixed,0.5199999999999999
motor,0.95
mem,0.975
mixed,0.5499999999999999
motor,0.7899999999999999
mem,0.9400000000000001
mixed,0.61
motor,0.8799999999999999
mem,0.845
mixed,0.775
motor,0.7050000000000001
mem,0.9800000000000001
mixed,0.6250000000000001
motor,0.9400000000000001
mem,0.945
mixed,0.74
motor,0.8299999999999998
mem,0.665
mixed,0.675
motor,0.725
mem,0.9100000000000001
mixed,0.8550000000000001
motor,0.7200000000000001
mem,0.8649999999999999
mixed,0.7750000000000001
motor,0.745
mem,0.9099999999999999
mixed,0.5900000000000001
motor,0.845
mem,0.72
