train_task,test_task,acc
mixed,motor,0.5199999999999999
mixed,mem,0.745
motor,mixed,0.65
motor,mem,0.9299999999999999
mem,mixed,0.6649999999999999
mem,motor,0.58
mixed,motor,0.51
mixed,mem,0.62
motor,mixed,0.6849999999999999
motor,mem,0.735
mem,mixed,0.5900000000000001
mem,motor,0.57
mixed,motor,0.6450000000000001
mixed,mem,0.77
motor,mixed,0.62
motor,mem,0.67
mem,mixed,0.62
mem,motor,0.575
mixed,motor,0.63
mixed,mem,0.9099999999999999
motor,mixed,0.8699999999999999
motor,mem,0.9949999999999999
mem,mixed,0.82
mem,motor,0.8550000000000001
mixed,motor,0.6799999999999999
mixed,mem,0.7100000000000001
motor,mixed,0.7150000000000001
motor,mem,0.9099999999999999
mem,mixed,0.75
mem,motor,0.8699999999999999
mixed,motor,0.7000000000000001
mixed,mem,0.74
motor,mixed,0.745
motor,mem,0.7699999999999999
mem,mixed,0.86
mem,motor,0.6399999999999999
mixed,motor,0.7500000000000001
mixed,mem,0.745
motor,mixed,0.7050000000000001
motor,mem,0.7100000000000002
mem,mixed,0.7100000000000001
mem,motor,0.6749999999999999
mixed,motor,0.8949999999999999
mixed,mem,0.825
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.565
mem,motor,0.565
mixed,motor,0.53
mixed,mem,0.72
motor,mixed,0.6449999999999999
motor,mem,0.5349999999999999
mem,mixed,0.545
mem,motor,0.5549999999999999
mixed,motor,0.7649999999999999
mixed,mem,0.58
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6700000000000002
mem,motor,0.6700000000000002
mixed,motor,0.8950000000000001
mixed,mem,0.8949999999999999
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.7649999999999999
mem,motor,0.7649999999999999
mixed,motor,0.7999999999999999
mixed,mem,0.7899999999999999
motor,mixed,0.6100000000000001
motor,mem,0.575
mem,mixed,0.7499999999999999
mem,motor,0.7699999999999999
mixed,motor,0.7049999999999998
mixed,mem,0.6950000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.72
mem,motor,0.7649999999999999
mixed,motor,0.63
mixed,mem,0.55
motor,mixed,0.5449999999999999
