task,acc
mixed,0.74
motor,0.9400000000000001
mem,0.99
mixed,0.585
motor,0.7499999999999999
mem,0.64
mixed,0.8099999999999999
motor,0.67
mem,0.6250000000000001
mixed,0.7999999999999999
motor,1.0
mem,0.9450000000000001
mixed,0.6500000000000001
motor,0.9199999999999999
mem,0.95
mixed,0.8150000000000001
motor,0.865
mem,0.905
mixed,0.8099999999999999
motor,0.7899999999999999
mem,0.755
mixed,0.8949999999999999
motor,0.7749999999999999
mem,0.565
mixed,0.7649999999999999
motor,0.8450000000000001
mem,0.5549999999999999
mixed,0.82
motor,0.8700000000000001
mem,0.6700000000000002
mixed,0.89
motor,0.8549999999999999
mem,0.7649999999999999
mixed,0.7649999999999999
motor,0.7899999999999999
mem,0.7699999999999999
mixed,0.86
motor,0.7050000000000001
mem,0.7649999999999999
mixed,0.6799999999999999
motor,0.8300000000000001
mem,0.6500000000000001
mixed,0.535
motor,0.7100000000000001
mem,0.8149999999999998
mixed,0.69
motor,0.5750000000000001
mem,0.7200000000000001
mixed,0.5349999999999999
motor,0.9400000000000001
mem,0.835
mixed,0.8400000000000001
motor,0.95
mem,0.96
mixed,0.51
motor,0.7150000000000001
mem,0.8649999999999999
mixed,0.5
motor,0.9
mem,0.655
mixed,0.5199999999999999
motor,0.9100000000000001
mem,0.89
mixed,0.7350000000000001
motor,0.7499999999999999
mem,0.7300000000000001
mixed,0.715
motor,0.7100000000000001
mem,0.9550000000000001
mixed,0.505
motor,0.685
mem,0.505
mixed,0.9399999999999998
motor,0.885
mem,0.95
mixed,0.7
motor,0.63
mem,0.9000000000000001
mixed,0.575
motor,0.985
mem,0.875
mixed,0.7849999999999999
motor,0.6649999999999999
mem,0.76
mixed,0.5
motor,0.9550000000000001
mem,0.73
mixed,0.5149999999999999
motor,0.9400000000000001
mem,0.8099999999999999
mixed,0.5
motor,0.9550000000000001
mem,0.755
mixed,0.5999999999999999
motor,0.9400000000000001
mem,0.8549999999999999
mixed,0.675
motor,0.9949999999999999
mem,0.945
mixed,0.85
motor,0.7849999999999999
mem,0.845
mixed,0.695
motor,0.8
mem,0.9100000000000001
mixed,0.74
motor,0.8150000000000001
mem,0.9299999999999999
mixed,0.655
motor,0.77
mem,0.9000000000000001
mixed,0.52
motor,0.635
mem,0.745
mixed,0.635
motor,0.755
mem,0.9649999999999999
mixed,0.6950000000000001
motor,0.9949999999999999
mem,0.945
mixed,0.9100000000000001
motor,0.835
mem,0.9800000000000001
mixed,0.66
motor,0.7899999999999999
mem,0.9
mixed,0.9349999999999999
motor,0.54
mem,0.82
mixed,0.7799999999999999
motor,0.6649999999999998
mem,0.7
mixed,0.595
motor,0.8099999999999999
mem,0.625
mixed,0.645
motor,0.82
mem,0.8099999999999999
mixed,0.5199999999999999
motor,0.9299999999999999
mem,0.9650000000000001
mixed,0.5499999999999999
motor,0.645
mem,0.95
mixed,0.62
motor,0.8049999999999999
mem,0.7849999999999999
mixed,0.645
motor,0.8950000000000001
mem,0.5999999999999999
mixed,0.6850000000000002
motor,0.9400000000000001
mem,0.85
mixed,0.595
motor,0.905
mem,0.53
mixed,0.7549999999999999
motor,0.7699999999999999
mem,0.825
mixed,0.89
motor,0.745
mem,0.745
mixed,0.79
motor,0.745
mem,0.74
mixed,0.605
motor,0.86
mem,0.8800000000000001
