train_task,test_task,acc
mixed,motor,0.85
mixed,mem,0.7549999999999999
motor,mixed,0.51
motor,mem,0.5
mem,mixed,0.8350000000000002
mem,motor,0.8950000000000001
mixed,motor,0.64
mixed,mem,0.7
motor,mixed,0.505
motor,mem,0.505
mem,mixed,0.76
mem,motor,0.705
mixed,motor,0.7799999999999999
mixed,mem,0.585
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5249999999999999
mem,motor,0.69
mixed,motor,0.7749999999999999
mixed,mem,0.725
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.565
mem,motor,0.8249999999999998
mixed,motor,0.505
mixed,mem,0.565
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.53
mixed,motor,0.585
mixed,mem,0.8249999999999998
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.65
mem,motor,0.64
mixed,motor,0.47000000000000003
mixed,mem,0.4800000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.46500000000000014
mem,motor,0.4
mixed,motor,0.745
mixed,mem,0.845
motor,mixed,0.545
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.495
mixed,motor,0.8000000000000002
mixed,mem,0.73
motor,mixed,0.8049999999999999
motor,mem,0.5949999999999999
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.7149999999999999
mixed,mem,0.595
motor,mixed,0.5199999999999999
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.595
mixed,mem,0.6199999999999999
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.8299999999999998
mixed,mem,0.8549999999999999
motor,mixed,0.53
motor,mem,0.5
mem,mixed,0.5249999999999999
mem,motor,0.5249999999999999
mixed,motor,0.53
mixed,mem,0.58
motor,mixed,0.5599999999999999
motor,mem,0.6950000000000001
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.39499999999999996
mixed,mem,0.255
motor,mixed,0.53
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.635
mixed,mem,0.7249999999999999
motor,mixed,0.6449999999999999
motor,mem,0.7350000000000001
mem,mixed,0.5400000000000001
mem,motor,0.4750000000000001
mixed,motor,0.845
mixed,mem,0.78
motor,mixed,0.625
motor,mem,0.615
mem,mixed,0.5399999999999999
mem,motor,0.5549999999999999
mixed,motor,0.8099999999999999
mixed,mem,0.76
motor,mixed,0.5999999999999999
motor,mem,0.8150000000000001
mem,mixed,0.6950000000000001
mem,motor,0.805
mixed,motor,0.9000000000000001
mixed,mem,0.8399999999999999
motor,mixed,0.51
motor,mem,0.74
mem,mixed,0.7250000000000001
mem,motor,0.7300000000000001
mixed,motor,0.745
mixed,mem,0.715
motor,mixed,0.585
motor,mem,0.67
mem,mixed,0.745
mem,motor,0.705
mixed,motor,0.5
mixed,mem,0.6450000000000001
motor,mixed,0.51
motor,mem,0.625
mem,mixed,0.64
mem,motor,0.6200000000000001
mixed,motor,0.495
mixed,mem,0.545
motor,mixed,0.615
motor,mem,0.675
mem,mixed,0.705
mem,motor,0.6649999999999999
mixed,motor,0.47000000000000003
mixed,mem,0.475
motor,mixed,0.51
motor,mem,0.5299999999999999
mem,mixed,0.71
mem,motor,0.6250000000000001
mixed,motor,0.505
mixed,mem,0.475
motor,mixed,0.555
motor,mem,0.67
mem,mixed,0.605
mem,motor,0.6499999999999999
mixed,motor,0.565
mixed,mem,0.6599999999999999
motor,mixed,0.82
motor,mem,0.7699999999999999
mem,mixed,0.75
mem,motor,0.7350000000000001
mixed,motor,0.5650000000000001
mixed,mem,0.6249999999999999
motor,mixed,0.5449999999999999
motor,mem,0.6500000000000001
mem,mixed,0.74
mem,motor,0.8850000000000001
mixed,motor,0.4450000000000001
mixed,mem,0.5349999999999999
motor,mixed,0.505
motor,mem,0.595
mem,mixed,0.78
mem,motor,0.775
mixed,motor,0.475
mixed,mem,0.61
motor,mixed,0.575
motor,mem,0.655
mem,mixed,0.5449999999999999
mem,motor,0.4
mixed,motor,0.655
mixed,mem,0.6050000000000001
motor,mixed,0.545
motor,mem,0.5850000000000001
mem,mixed,0.5549999999999999
mem,motor,0.51
mixed,motor,0.5499999999999999
mixed,mem,0.64
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6
mem,motor,0.52
mixed,motor,0.5349999999999999
mixed,mem,0.5349999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6849999999999999
mem,motor,0.8099999999999999
mixed,motor,0.635
mixed,mem,0.7050000000000001
motor,mixed,0.5499999999999999
motor,mem,0.5
mem,mixed,0.75
mem,motor,0.8149999999999998
mixed,motor,0.65
mixed,mem,0.635
