,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.885
1,mixed,mem,MSC01,0.9199999999999999
2,motor,mixed,MSC01,0.7
3,motor,mem,MSC01,0.6700000000000002
4,mem,mixed,MSC01,0.9099999999999999
5,mem,motor,MSC01,0.915
6,mixed,motor,MSC02,0.925
7,mixed,mem,MSC02,0.745
8,motor,mixed,MSC02,0.615
9,motor,mem,MSC02,0.5449999999999999
10,mem,mixed,MSC02,0.7849999999999999
11,mem,motor,MSC02,0.8900000000000002
12,mixed,motor,MSC03,1.0
13,mixed,mem,MSC03,0.9
14,motor,mixed,MSC03,0.6900000000000001
15,motor,mem,MSC03,0.8099999999999999
16,mem,mixed,MSC03,0.75
17,mem,motor,MSC03,0.97
18,mixed,motor,MSC04,0.8499999999999999
19,mixed,mem,MSC04,0.8549999999999999
20,motor,mixed,MSC04,0.645
21,motor,mem,MSC04,0.595
22,mem,mixed,MSC04,0.8649999999999999
23,mem,motor,MSC04,0.8399999999999999
24,mixed,motor,MSC05,0.885
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.505
27,motor,mem,MSC05,0.755
28,mem,mixed,MSC05,0.8499999999999999
29,mem,motor,MSC05,1.0
30,mixed,motor,MSC06,0.9400000000000001
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.605
33,motor,mem,MSC06,0.7100000000000001
34,mem,mixed,MSC06,0.755
35,mem,motor,MSC06,0.8049999999999999
36,mixed,motor,MSC07,0.755
37,mixed,mem,MSC07,0.9000000000000001
38,motor,mixed,MSC07,0.57
39,motor,mem,MSC07,0.5349999999999999
40,mem,mixed,MSC07,0.9099999999999999
41,mem,motor,MSC07,0.8400000000000001
42,mixed,motor,MSC10,0.8949999999999999
43,mixed,mem,MSC10,0.8299999999999998
44,motor,mixed,MSC10,0.635
45,motor,mem,MSC10,0.635
46,mem,mixed,MSC10,0.7899999999999999
47,mem,motor,MSC10,0.8800000000000001
