train_task,test_task,acc
mixed,motor,0.8550000000000001
mixed,mem,0.675
motor,mixed,0.5349999999999999
motor,mem,0.5
mem,mixed,0.835
mem,motor,0.885
mixed,motor,0.6599999999999999
mixed,mem,0.605
motor,mixed,0.505
motor,mem,0.505
mem,mixed,0.7000000000000001
mem,motor,0.7000000000000001
mixed,motor,0.665
mixed,mem,0.52
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.51
mem,motor,0.61
mixed,motor,0.7699999999999998
mixed,mem,0.6650000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5599999999999999
mem,motor,0.82
mixed,motor,0.5
mixed,mem,0.505
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.52
mixed,motor,0.55
mixed,mem,0.8299999999999998
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.6749999999999999
mem,motor,0.5900000000000001
mixed,motor,0.44000000000000006
mixed,mem,0.44000000000000006
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.45000000000000007
mem,motor,0.365
mixed,motor,0.74
mixed,mem,0.8150000000000001
motor,mixed,0.5349999999999999
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.735
mixed,mem,0.68
motor,mixed,0.82
motor,mem,0.605
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.74
mixed,mem,0.605
motor,mixed,0.5149999999999999
motor,mem,0.5149999999999999
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.585
mixed,mem,0.61
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.8399999999999999
mixed,mem,0.8650000000000002
motor,mixed,0.5349999999999999
motor,mem,0.5
mem,mixed,0.505
mem,motor,0.505
mixed,motor,0.53
mixed,mem,0.5599999999999999
motor,mixed,0.55
motor,mem,0.7300000000000001
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.395
mixed,mem,0.255
motor,mixed,0.505
motor,mem,0.51
mem,mixed,0.5
mem,motor,0.5
mixed,motor,0.5549999999999999
mixed,mem,0.6
motor,mixed,0.525
motor,mem,0.6200000000000001
mem,mixed,0.53
mem,motor,0.38
mixed,motor,0.915
mixed,mem,0.7849999999999999
motor,mixed,0.6649999999999999
motor,mem,0.6500000000000001
mem,mixed,0.5499999999999999
mem,motor,0.5499999999999999
mixed,motor,0.7549999999999999
mixed,mem,0.71
motor,mixed,0.57
motor,mem,0.7499999999999999
mem,mixed,0.6449999999999999
mem,motor,0.5900000000000001
mixed,motor,0.9349999999999999
mixed,mem,0.8600000000000001
motor,mixed,0.465
motor,mem,0.67
mem,mixed,0.505
mem,motor,0.505
mixed,motor,0.6950000000000001
mixed,mem,0.6700000000000002
motor,mixed,0.5599999999999999
motor,mem,0.615
mem,mixed,0.6500000000000001
mem,motor,0.59
mixed,motor,0.475
mixed,mem,0.615
motor,mixed,0.5149999999999999
motor,mem,0.59
mem,mixed,0.63
mem,motor,0.755
mixed,motor,0.495
mixed,mem,0.5549999999999999
motor,mixed,0.7000000000000001
motor,mem,0.6950000000000001
mem,mixed,0.5999999999999999
mem,motor,0.655
mixed,motor,0.4450000000000001
mixed,mem,0.495
motor,mixed,0.5249999999999999
motor,mem,0.5449999999999999
mem,mixed,0.6900000000000001
mem,motor,0.605
mixed,motor,0.5149999999999999
mixed,mem,0.5149999999999999
motor,mixed,0.555
motor,mem,0.6849999999999999
mem,mixed,0.5650000000000001
mem,motor,0.6299999999999999
mixed,motor,0.5549999999999999
mixed,mem,0.6499999999999999
motor,mixed,0.86
motor,mem,0.7699999999999999
mem,mixed,0.7899999999999999
mem,motor,0.7649999999999999
mixed,motor,0.55
mixed,mem,0.58
motor,mixed,0.505
motor,mem,0.6849999999999999
mem,mixed,0.72
mem,motor,0.8800000000000001
mixed,motor,0.495
mixed,mem,0.575
motor,mixed,0.51
motor,mem,0.6200000000000001
mem,mixed,0.7949999999999999
mem,motor,0.7849999999999999
mixed,motor,0.45499999999999996
mixed,mem,0.595
motor,mixed,0.5549999999999999
motor,mem,0.6700000000000002
mem,mixed,0.48
mem,motor,0.4
mixed,motor,0.5849999999999999
mixed,mem,0.5599999999999999
motor,mixed,0.55
motor,mem,0.6100000000000001
mem,mixed,0.5449999999999999
mem,motor,0.505
mixed,motor,0.565
mixed,mem,0.655
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5700000000000001
mem,motor,0.515
mixed,motor,0.5399999999999999
mixed,mem,0.5399999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.74
mem,motor,0.85
mixed,motor,0.635
mixed,mem,0.715
motor,mixed,0.5499999999999999
motor,mem,0.5
mem,mixed,0.7649999999999999
mem,motor,0.8249999999999998
mixed,motor,0.665
mixed,mem,0.7
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.525
mem,motor,0.6300000000000001
mixed,motor,0.545
mixed,mem,0.7350000000000001
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.5449999999999999
mem,motor,0.595
