,train_task,test_task,sub,acc
0,mixed,motor,MSC01,0.9
1,mixed,mem,MSC01,0.8400000000000001
2,motor,mixed,MSC01,0.68
3,motor,mem,MSC01,0.6550000000000001
4,mem,mixed,MSC01,0.925
5,mem,motor,MSC01,0.9200000000000002
6,mixed,motor,MSC02,0.875
7,mixed,mem,MSC02,0.725
8,motor,mixed,MSC02,0.5950000000000001
9,motor,mem,MSC02,0.5399999999999999
10,mem,mixed,MSC02,0.7849999999999999
11,mem,motor,MSC02,0.8850000000000001
12,mixed,motor,MSC03,1.0
13,mixed,mem,MSC03,0.845
14,motor,mixed,MSC03,0.6950000000000001
15,motor,mem,MSC03,0.7749999999999999
16,mem,mixed,MSC03,0.73
17,mem,motor,MSC03,0.9650000000000001
18,mixed,motor,MSC04,0.8499999999999999
19,mixed,mem,MSC04,0.8549999999999999
20,motor,mixed,MSC04,0.65
21,motor,mem,MSC04,0.6599999999999999
22,mem,mixed,MSC04,0.8150000000000001
23,mem,motor,MSC04,0.835
24,mixed,motor,MSC05,0.9400000000000001
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.5
27,motor,mem,MSC05,0.75
28,mem,mixed,MSC05,0.8499999999999999
29,mem,motor,MSC05,1.0
30,mixed,motor,MSC06,0.9800000000000001
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.6249999999999999
33,motor,mem,MSC06,0.745
34,mem,mixed,MSC06,0.755
35,mem,motor,MSC06,0.7999999999999999
36,mixed,motor,MSC07,0.6700000000000002
37,mixed,mem,MSC07,0.9000000000000001
38,motor,mixed,MSC07,0.5899999999999999
39,motor,mem,MSC07,0.525
40,mem,mixed,MSC07,0.9249999999999998
41,mem,motor,MSC07,0.825
42,mixed,motor,MSC10,0.9349999999999999
43,mixed,mem,MSC10,0.8549999999999999
44,motor,mixed,MSC10,0.65
45,motor,mem,MSC10,0.7000000000000001
46,mem,mixed,MSC10,0.8099999999999999
47,mem,motor,MSC10,0.905
