,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.725
1,mixed,mem,MSC01,MSC02,0.6300000000000001
2,motor,mixed,MSC01,MSC02,0.615
3,motor,mem,MSC01,MSC02,0.675
4,mem,mixed,MSC01,MSC02,0.615
5,mem,motor,MSC01,MSC02,0.7699999999999999
6,mixed,motor,MSC01,MSC03,0.75
7,mixed,mem,MSC01,MSC03,0.5399999999999999
8,motor,mixed,MSC01,MSC03,0.5349999999999999
9,motor,mem,MSC01,MSC03,0.605
10,mem,mixed,MSC01,MSC03,0.45500000000000007
11,mem,motor,MSC01,MSC03,0.7100000000000001
12,mixed,motor,MSC01,MSC04,0.7249999999999999
13,mixed,mem,MSC01,MSC04,0.5349999999999999
14,motor,mixed,MSC01,MSC04,0.675
15,motor,mem,MSC01,MSC04,0.5
16,mem,mixed,MSC01,MSC04,0.7849999999999999
17,mem,motor,MSC01,MSC04,0.8
18,mixed,motor,MSC01,MSC05,0.65
19,mixed,mem,MSC01,MSC05,0.59
20,motor,mixed,MSC01,MSC05,0.5499999999999999
21,motor,mem,MSC01,MSC05,0.5299999999999999
22,mem,mixed,MSC01,MSC05,0.5399999999999999
23,mem,motor,MSC01,MSC05,0.6500000000000001
24,mixed,motor,MSC01,MSC06,0.5449999999999999
25,mixed,mem,MSC01,MSC06,0.565
26,motor,mixed,MSC01,MSC06,0.5499999999999999
27,motor,mem,MSC01,MSC06,0.595
28,mem,mixed,MSC01,MSC06,0.5
29,mem,motor,MSC01,MSC06,0.64
30,mixed,motor,MSC01,MSC07,0.5599999999999999
31,mixed,mem,MSC01,MSC07,0.52
32,motor,mixed,MSC01,MSC07,0.6799999999999999
33,motor,mem,MSC01,MSC07,0.575
34,mem,mixed,MSC01,MSC07,0.775
35,mem,motor,MSC01,MSC07,0.75
36,mixed,motor,MSC01,MSC10,0.8400000000000001
37,mixed,mem,MSC01,MSC10,0.525
38,motor,mixed,MSC01,MSC10,0.5499999999999999
39,motor,mem,MSC01,MSC10,0.5199999999999999
40,mem,mixed,MSC01,MSC10,0.5599999999999998
41,mem,motor,MSC01,MSC10,0.715
42,mixed,motor,MSC02,MSC01,0.775
43,mixed,mem,MSC02,MSC01,0.65
44,motor,mixed,MSC02,MSC01,0.8649999999999999
45,motor,mem,MSC02,MSC01,0.6900000000000002
46,mem,mixed,MSC02,MSC01,0.71
47,mem,motor,MSC02,MSC01,0.7699999999999999
48,mixed,motor,MSC02,MSC03,0.6700000000000002
49,mixed,mem,MSC02,MSC03,0.5
50,motor,mixed,MSC02,MSC03,0.57
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.5
53,mem,motor,MSC02,MSC03,0.6399999999999999
54,mixed,motor,MSC02,MSC04,0.56
55,mixed,mem,MSC02,MSC04,0.4450000000000001
56,motor,mixed,MSC02,MSC04,0.6199999999999999
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.7699999999999999
59,mem,motor,MSC02,MSC04,0.775
60,mixed,motor,MSC02,MSC05,0.505
61,mixed,mem,MSC02,MSC05,0.4450000000000001
62,motor,mixed,MSC02,MSC05,0.655
63,motor,mem,MSC02,MSC05,0.5149999999999999
64,mem,mixed,MSC02,MSC05,0.64
65,mem,motor,MSC02,MSC05,0.7699999999999999
66,mixed,motor,MSC02,MSC06,0.5
67,mixed,mem,MSC02,MSC06,0.5
68,motor,mixed,MSC02,MSC06,0.505
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.51
71,mem,motor,MSC02,MSC06,0.7000000000000001
72,mixed,motor,MSC02,MSC07,0.365
73,mixed,mem,MSC02,MSC07,0.505
74,motor,mixed,MSC02,MSC07,0.5149999999999999
75,motor,mem,MSC02,MSC07,0.495
76,mem,mixed,MSC02,MSC07,0.53
