,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.7999999999999999
1,MSC01,MSC02,motor,0.905
2,MSC01,MSC02,mem,0.945
3,MSC01,MSC03,mixed,0.645
4,MSC01,MSC03,motor,0.86
5,MSC01,MSC03,mem,0.95
6,MSC01,MSC04,mixed,0.735
7,MSC01,MSC04,motor,0.875
8,MSC01,MSC04,mem,0.9949999999999999
9,MSC01,MSC05,mixed,0.8150000000000001
10,MSC01,MSC05,motor,0.7100000000000001
11,MSC01,MSC05,mem,0.8599999999999998
12,MSC01,MSC06,mixed,0.5799999999999998
13,MSC01,MSC06,motor,0.7699999999999999
14,MSC01,MSC06,mem,0.7350000000000001
15,MSC01,MSC07,mixed,0.58
16,MSC01,MSC07,motor,0.7150000000000001
17,MSC01,MSC07,mem,0.8700000000000001
18,MSC01,MSC10,mixed,0.57
19,MSC01,MSC10,motor,0.8950000000000001
20,MSC01,MSC10,mem,0.9800000000000001
21,MSC02,MSC01,mixed,0.95
22,MSC02,MSC01,motor,1.0
23,MSC02,MSC01,mem,0.945
24,MSC02,MSC03,mixed,0.6600000000000001
25,MSC02,MSC03,motor,0.9200000000000002
26,MSC02,MSC03,mem,0.9
27,MSC02,MSC04,mixed,0.6750000000000002
28,MSC02,MSC04,motor,0.9349999999999999
29,MSC02,MSC04,mem,1.0
30,MSC02,MSC05,mixed,0.5249999999999999
31,MSC02,MSC05,motor,0.9400000000000001
32,MSC02,MSC05,mem,0.7150000000000001
33,MSC02,MSC06,mixed,0.53
34,MSC02,MSC06,motor,0.5599999999999999
35,MSC02,MSC06,mem,0.8049999999999999
36,MSC02,MSC07,mixed,0.6199999999999999
37,MSC02,MSC07,motor,0.63
38,MSC02,MSC07,mem,0.7749999999999999
39,MSC02,MSC10,mixed,0.445
40,MSC02,MSC10,motor,0.7949999999999999
41,MSC02,MSC10,mem,0.8649999999999999
42,MSC03,MSC01,mixed,0.5
43,MSC03,MSC01,motor,0.605
44,MSC03,MSC01,mem,0.6649999999999999
45,MSC03,MSC02,mixed,0.5499999999999999
46,MSC03,MSC02,motor,0.8950000000000001
47,MSC03,MSC02,mem,0.585
48,MSC03,MSC04,mixed,0.745
49,MSC03,MSC04,motor,0.95
50,MSC03,MSC04,mem,0.875
51,MSC03,MSC05,mixed,0.57
52,MSC03,MSC05,motor,0.905
53,MSC03,MSC05,mem,0.8099999999999999
54,MSC03,MSC06,mixed,0.5
55,MSC03,MSC06,motor,0.6249999999999999
56,MSC03,MSC06,mem,0.8600000000000001
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.615
59,MSC03,MSC07,mem,0.7999999999999999
60,MSC03,MSC10,mixed,0.5149999999999999
61,MSC03,MSC10,motor,0.575
62,MSC03,MSC10,mem,0.9400000000000001
63,MSC04,MSC01,mixed,0.93
64,MSC04,MSC01,motor,0.95
65,MSC04,MSC01,mem,0.8950000000000001
66,MSC04,MSC02,mixed,0.705
67,MSC04,MSC02,motor,0.9400000000000001
68,MSC04,MSC02,mem,0.78
69,MSC04,MSC03,mixed,0.8149999999999998
70,MSC04,MSC03,motor,0.9299999999999999
71,MSC04,MSC03,mem,0.8499999999999999
72,MSC04,MSC05,mixed,0.82
73,MSC04,MSC05,motor,0.9650000000000001
74,MSC04,MSC05,mem,0.97
75,MSC04,MSC06,mixed,0.925
76,MSC04,MSC06,motor,0.915
77,MSC04,MSC06,mem,0.9000000000000001
78,MSC04,MSC07,mixed,0.5700000000000001
79,MSC04,MSC07,motor,0.82
80,MSC04,MSC07,mem,0.7849999999999999
81,MSC04,MSC10,mixed,0.7549999999999999
82,MSC04,MSC10,motor,0.95
83,MSC04,MSC10,mem,0.95
84,MSC05,MSC01,mixed,0.9949999999999999
85,MSC05,MSC01,motor,0.71
86,MSC05,MSC01,mem,1.0
87,MSC05,MSC02,mixed,0.68
88,MSC05,MSC02,motor,0.835
89,MSC05,MSC02,mem,0.5199999999999999
90,MSC05,MSC03,mixed,0.805
91,MSC05,MSC03,motor,0.9800000000000001
92,MSC05,MSC03,mem,0.8950000000000001
93,MSC05,MSC04,mixed,0.7350000000000001
94,MSC05,MSC04,motor,0.9199999999999999
95,MSC05,MSC04,mem,0.875
96,MSC05,MSC06,mixed,0.55
97,MSC05,MSC06,motor,0.5149999999999999
98,MSC05,MSC06,mem,0.985
99,MSC05,MSC07,mixed,0.7799999999999999
100,MSC05,MSC07,motor,0.72
101,MSC05,MSC07,mem,0.51
102,MSC05,MSC10,mixed,0.585
103,MSC05,MSC10,motor,0.68
104,MSC05,MSC10,mem,0.8649999999999999
105,MSC06,MSC01,mixed,0.7649999999999999
106,MSC06,MSC01,motor,0.9150000000000003
107,MSC06,MSC01,mem,1.0
108,MSC06,MSC02,mixed,0.7599999999999999
109,MSC06,MSC02,motor,0.7350000000000001
110,MSC06,MSC02,mem,0.86
111,MSC06,MSC03,mixed,0.6450000000000001
112,MSC06,MSC03,motor,0.9199999999999999
113,MSC06,MSC03,mem,0.9400000000000001
114,MSC06,MSC04,mixed,0.8750000000000002
115,MSC06,MSC04,motor,0.9000000000000001
116,MSC06,MSC04,mem,0.9700000000000001
117,MSC06,MSC05,mixed,0.7699999999999999
118,MSC06,MSC05,motor,0.8950000000000001
119,MSC06,MSC05,mem,0.945
120,MSC06,MSC07,mixed,0.72
121,MSC06,MSC07,motor,0.8400000000000001
122,MSC06,MSC07,mem,0.6950000000000001
123,MSC06,MSC10,mixed,0.605
124,MSC06,MSC10,motor,0.8800000000000001
125,MSC06,MSC10,mem,0.945
126,MSC07,MSC01,mixed,0.95
127,MSC07,MSC01,motor,0.6649999999999999
128,MSC07,MSC01,mem,0.99
129,MSC07,MSC02,mixed,0.8049999999999999
130,MSC07,MSC02,motor,0.735
131,MSC07,MSC02,mem,0.6599999999999999
132,MSC07,MSC03,mixed,0.675
133,MSC07,MSC03,motor,0.7949999999999999
134,MSC07,MSC03,mem,0.8
135,MSC07,MSC04,mixed,0.755
136,MSC07,MSC04,motor,0.755
137,MSC07,MSC04,mem,0.95
138,MSC07,MSC05,mixed,0.5149999999999999
139,MSC07,MSC05,motor,0.8149999999999998
140,MSC07,MSC05,mem,0.9099999999999999
141,MSC07,MSC06,mixed,0.58
142,MSC07,MSC06,motor,0.845
143,MSC07,MSC06,mem,0.985
144,MSC07,MSC10,mixed,0.5650000000000001
145,MSC07,MSC10,motor,0.9
146,MSC07,MSC10,mem,0.9200000000000002
147,MSC10,MSC01,mixed,0.51
148,MSC10,MSC01,motor,0.9099999999999999
149,MSC10,MSC01,mem,0.7949999999999999
150,MSC10,MSC02,mixed,0.5299999999999999
151,MSC10,MSC02,motor,0.8800000000000001
152,MSC10,MSC02,mem,0.6649999999999999
153,MSC10,MSC03,mixed,0.7300000000000001
154,MSC10,MSC03,motor,0.96
155,MSC10,MSC03,mem,0.885
156,MSC10,MSC04,mixed,0.73
157,MSC10,MSC04,motor,1.0
158,MSC10,MSC04,mem,0.8499999999999999
159,MSC10,MSC05,mixed,0.75
160,MSC10,MSC05,motor,0.9299999999999999
161,MSC10,MSC05,mem,0.8549999999999999
162,MSC10,MSC06,mixed,0.8049999999999999
163,MSC10,MSC06,motor,0.67
164,MSC10,MSC06,mem,0.8550000000000001
165,MSC10,MSC07,mixed,0.53
166,MSC10,MSC07,motor,0.875
167,MSC10,MSC07,mem,0.745
