,train_task,test_task,train_sub,test_sub,acc
0,mixed,motor,MSC01,MSC02,0.8099999999999999
1,mixed,mem,MSC01,MSC02,0.7899999999999998
2,motor,mixed,MSC01,MSC02,0.6799999999999999
3,motor,mem,MSC01,MSC02,0.73
4,mem,mixed,MSC01,MSC02,0.49000000000000005
5,mem,motor,MSC01,MSC02,0.6649999999999999
6,mixed,motor,MSC01,MSC03,0.59
7,mixed,mem,MSC01,MSC03,0.41
8,motor,mixed,MSC01,MSC03,0.6399999999999999
9,motor,mem,MSC01,MSC03,0.605
10,mem,mixed,MSC01,MSC03,0.645
11,mem,motor,MSC01,MSC03,0.76
12,mixed,motor,MSC01,MSC04,0.8299999999999998
13,mixed,mem,MSC01,MSC04,0.545
14,motor,mixed,MSC01,MSC04,0.7350000000000001
15,motor,mem,MSC01,MSC04,0.5399999999999999
16,mem,mixed,MSC01,MSC04,0.8550000000000001
17,mem,motor,MSC01,MSC04,0.85
18,mixed,motor,MSC01,MSC05,0.7699999999999999
19,mixed,mem,MSC01,MSC05,0.63
20,motor,mixed,MSC01,MSC05,0.5499999999999999
21,motor,mem,MSC01,MSC05,0.5299999999999999
22,mem,mixed,MSC01,MSC05,0.8049999999999999
23,mem,motor,MSC01,MSC05,0.8049999999999999
24,mixed,motor,MSC01,MSC06,0.745
25,mixed,mem,MSC01,MSC06,0.645
26,motor,mixed,MSC01,MSC06,0.5499999999999999
27,motor,mem,MSC01,MSC06,0.6050000000000001
28,mem,mixed,MSC01,MSC06,0.5850000000000001
29,mem,motor,MSC01,MSC06,0.845
30,mixed,motor,MSC01,MSC07,0.5499999999999999
31,mixed,mem,MSC01,MSC07,0.5499999999999999
32,motor,mixed,MSC01,MSC07,0.6300000000000001
33,motor,mem,MSC01,MSC07,0.515
34,mem,mixed,MSC01,MSC07,0.65
35,mem,motor,MSC01,MSC07,0.65
36,mixed,motor,MSC01,MSC10,0.685
37,mixed,mem,MSC01,MSC10,0.5199999999999999
38,motor,mixed,MSC01,MSC10,0.575
39,motor,mem,MSC01,MSC10,0.5849999999999999
40,mem,mixed,MSC01,MSC10,0.7999999999999999
41,mem,motor,MSC01,MSC10,0.8249999999999998
42,mixed,motor,MSC02,MSC01,0.6049999999999999
43,mixed,mem,MSC02,MSC01,0.52
44,motor,mixed,MSC02,MSC01,0.615
45,motor,mem,MSC02,MSC01,0.5899999999999999
46,mem,mixed,MSC02,MSC01,0.825
47,mem,motor,MSC02,MSC01,0.925
48,mixed,motor,MSC02,MSC03,0.5349999999999999
49,mixed,mem,MSC02,MSC03,0.5
50,motor,mixed,MSC02,MSC03,0.5399999999999999
51,motor,mem,MSC02,MSC03,0.5
52,mem,mixed,MSC02,MSC03,0.525
53,mem,motor,MSC02,MSC03,0.745
54,mixed,motor,MSC02,MSC04,0.5149999999999999
55,mixed,mem,MSC02,MSC04,0.5
56,motor,mixed,MSC02,MSC04,0.5449999999999999
57,motor,mem,MSC02,MSC04,0.5
58,mem,mixed,MSC02,MSC04,0.865
59,mem,motor,MSC02,MSC04,0.825
60,mixed,motor,MSC02,MSC05,0.4600000000000001
61,mixed,mem,MSC02,MSC05,0.465
62,motor,mixed,MSC02,MSC05,0.5599999999999999
63,motor,mem,MSC02,MSC05,0.5
64,mem,mixed,MSC02,MSC05,0.7749999999999999
65,mem,motor,MSC02,MSC05,0.9099999999999999
66,mixed,motor,MSC02,MSC06,0.5
67,mixed,mem,MSC02,MSC06,0.5
68,motor,mixed,MSC02,MSC06,0.5
69,motor,mem,MSC02,MSC06,0.5
70,mem,mixed,MSC02,MSC06,0.5399999999999999
71,mem,motor,MSC02,MSC06,0.7050000000000001
72,mixed,motor,MSC02,MSC07,0.41
73,mixed,mem,MSC02,MSC07,0.48
74,motor,mixed,MSC02,MSC07,0.505
75,motor,mem,MSC02,MSC07,0.5
76,mem,mixed,MSC02,MSC07,0.575
77,mem,motor,MSC02,MSC07,0.7050000000000001
78,mixed,motor,MSC02,MSC10,0.465
79,mixed,mem,MSC02,MSC10,0.42000000000000004
80,motor,mixed,MSC02,MSC10,0.5
81,motor,mem,MSC02,MSC10,0.5
82,mem,mixed,MSC02,MSC10,0.575
83,mem,motor,MSC02,MSC10,0.7249999999999999
84,mixed,motor,MSC03,MSC01,0.5
85,mixed,mem,MSC03,MSC01,0.5
86,motor,mixed,MSC03,MSC01,0.5
87,motor,mem,MSC03,MSC01,0.5
88,mem,mixed,MSC03,MSC01,0.425
89,mem,motor,MSC03,MSC01,0.5349999999999999
90,mixed,motor,MSC03,MSC02,0.505
91,mixed,mem,MSC03,MSC02,0.5
92,motor,mixed,MSC03,MSC02,0.51
93,motor,mem,MSC03,MSC02,0.505
94,mem,mixed,MSC03,MSC02,0.36
95,mem,motor,MSC03,MSC02,0.5
96,mixed,motor,MSC03,MSC04,0.575
97,mixed,mem,MSC03,MSC04,0.5
98,motor,mixed,MSC03,MSC04,0.59
99,motor,mem,MSC03,MSC04,0.51
100,mem,mixed,MSC03,MSC04,0.72
101,mem,motor,MSC03,MSC04,0.8099999999999999
102,mixed,motor,MSC03,MSC05,0.635
103,mixed,mem,MSC03,MSC05,0.505
104,motor,mixed,MSC03,MSC05,0.5
105,motor,mem,MSC03,MSC05,0.5199999999999999
106,mem,mixed,MSC03,MSC05,0.7899999999999999
107,mem,motor,MSC03,MSC05,0.7849999999999999
108,mixed,motor,MSC03,MSC06,0.5
