,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.8399999999999999
1,MSC01,MSC02,motor,0.9199999999999999
2,MSC01,MSC02,mem,0.7350000000000001
3,MSC01,MSC03,mixed,0.59
4,MSC01,MSC03,motor,0.875
5,MSC01,MSC03,mem,0.8599999999999998
6,MSC01,MSC04,mixed,0.845
7,MSC01,MSC04,motor,0.9099999999999999
8,MSC01,MSC04,mem,0.8750000000000002
9,MSC01,MSC05,mixed,0.8450000000000001
10,MSC01,MSC05,motor,0.735
11,MSC01,MSC05,mem,0.95
12,MSC01,MSC06,mixed,0.64
13,MSC01,MSC06,motor,0.7899999999999999
14,MSC01,MSC06,mem,0.9650000000000001
15,MSC01,MSC07,mixed,0.57
16,MSC01,MSC07,motor,0.625
17,MSC01,MSC07,mem,0.675
18,MSC01,MSC10,mixed,0.51
19,MSC01,MSC10,motor,0.89
20,MSC01,MSC10,mem,1.0
21,MSC02,MSC01,mixed,0.795
22,MSC02,MSC01,motor,0.9099999999999999
23,MSC02,MSC01,mem,0.9800000000000001
24,MSC02,MSC03,mixed,0.5700000000000001
25,MSC02,MSC03,motor,0.865
26,MSC02,MSC03,mem,0.945
27,MSC02,MSC04,mixed,0.5700000000000001
28,MSC02,MSC04,motor,0.8750000000000002
29,MSC02,MSC04,mem,0.99
30,MSC02,MSC05,mixed,0.48
31,MSC02,MSC05,motor,0.8799999999999999
32,MSC02,MSC05,mem,0.86
33,MSC02,MSC06,mixed,0.5149999999999999
34,MSC02,MSC06,motor,0.5
35,MSC02,MSC06,mem,0.915
36,MSC02,MSC07,mixed,0.6100000000000001
37,MSC02,MSC07,motor,0.5499999999999999
38,MSC02,MSC07,mem,0.875
39,MSC02,MSC10,mixed,0.51
40,MSC02,MSC10,motor,0.6500000000000001
41,MSC02,MSC10,mem,0.95
42,MSC03,MSC01,mixed,0.5
43,MSC03,MSC01,motor,0.51
44,MSC03,MSC01,mem,0.6349999999999999
45,MSC03,MSC02,mixed,0.5499999999999999
46,MSC03,MSC02,motor,0.8300000000000001
47,MSC03,MSC02,mem,0.575
48,MSC03,MSC04,mixed,0.5850000000000001
49,MSC03,MSC04,motor,0.8550000000000001
50,MSC03,MSC04,mem,0.845
51,MSC03,MSC05,mixed,0.5399999999999999
52,MSC03,MSC05,motor,0.8099999999999999
53,MSC03,MSC05,mem,0.7949999999999999
54,MSC03,MSC06,mixed,0.5
55,MSC03,MSC06,motor,0.5
56,MSC03,MSC06,mem,0.7799999999999999
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.5849999999999999
59,MSC03,MSC07,mem,0.7949999999999998
60,MSC03,MSC10,mixed,0.5
61,MSC03,MSC10,motor,0.5549999999999999
62,MSC03,MSC10,mem,0.9400000000000001
63,MSC04,MSC01,mixed,0.7750000000000001
64,MSC04,MSC01,motor,0.89
65,MSC04,MSC01,mem,0.7100000000000001
66,MSC04,MSC02,mixed,0.585
67,MSC04,MSC02,motor,0.93
68,MSC04,MSC02,mem,0.6299999999999999
69,MSC04,MSC03,mixed,0.65
70,MSC04,MSC03,motor,0.8400000000000001
71,MSC04,MSC03,mem,0.8399999999999999
72,MSC04,MSC05,mixed,0.925
73,MSC04,MSC05,motor,0.9549999999999998
74,MSC04,MSC05,mem,0.8949999999999999
75,MSC04,MSC06,mixed,0.86
76,MSC04,MSC06,motor,0.9600000000000002
77,MSC04,MSC06,mem,0.875
78,MSC04,MSC07,mixed,0.51
79,MSC04,MSC07,motor,0.7999999999999999
80,MSC04,MSC07,mem,0.71
81,MSC04,MSC10,mixed,0.6249999999999999
82,MSC04,MSC10,motor,0.95
83,MSC04,MSC10,mem,0.95
84,MSC05,MSC01,mixed,0.7
85,MSC05,MSC01,motor,0.6900000000000001
86,MSC05,MSC01,mem,0.9899999999999999
87,MSC05,MSC02,mixed,0.5149999999999999
88,MSC05,MSC02,motor,0.8399999999999999
89,MSC05,MSC02,mem,0.505
90,MSC05,MSC03,mixed,0.6249999999999999
91,MSC05,MSC03,motor,0.9550000000000001
92,MSC05,MSC03,mem,0.8149999999999998
93,MSC05,MSC04,mixed,0.8049999999999999
94,MSC05,MSC04,motor,0.8999999999999998
95,MSC05,MSC04,mem,0.8399999999999999
96,MSC05,MSC06,mixed,0.6599999999999999
97,MSC05,MSC06,motor,0.525
98,MSC05,MSC06,mem,0.9450000000000001
99,MSC05,MSC07,mixed,0.5399999999999999
100,MSC05,MSC07,motor,0.7350000000000001
101,MSC05,MSC07,mem,0.52
102,MSC05,MSC10,mixed,0.55
103,MSC05,MSC10,motor,0.6600000000000001
104,MSC05,MSC10,mem,0.8600000000000001
105,MSC06,MSC01,mixed,0.5799999999999998
106,MSC06,MSC01,motor,0.72
107,MSC06,MSC01,mem,0.9550000000000001
108,MSC06,MSC02,mixed,0.66
109,MSC06,MSC02,motor,0.595
110,MSC06,MSC02,mem,0.7099999999999999
111,MSC06,MSC03,mixed,0.5199999999999999
112,MSC06,MSC03,motor,0.7000000000000001
113,MSC06,MSC03,mem,0.8950000000000001
114,MSC06,MSC04,mixed,0.74
115,MSC06,MSC04,motor,0.7949999999999999
116,MSC06,MSC04,mem,0.8799999999999999
117,MSC06,MSC05,mixed,0.575
118,MSC06,MSC05,motor,0.905
119,MSC06,MSC05,mem,0.9200000000000002
120,MSC06,MSC07,mixed,0.7049999999999998
121,MSC06,MSC07,motor,0.79
122,MSC06,MSC07,mem,0.76
123,MSC06,MSC10,mixed,0.55
124,MSC06,MSC10,motor,0.93
125,MSC06,MSC10,mem,0.95
126,MSC07,MSC01,mixed,0.6649999999999999
127,MSC07,MSC01,motor,0.5900000000000001
128,MSC07,MSC01,mem,0.985
