train_task,test_task,acc
mixed,motor,0.9349999999999999
mixed,mem,0.755
motor,mixed,0.9099999999999999
motor,mem,0.6450000000000001
mem,mixed,0.8800000000000001
mem,motor,0.8950000000000001
mixed,motor,0.6500000000000001
mixed,mem,0.5449999999999999
motor,mixed,0.505
motor,mem,0.5
mem,mixed,0.5249999999999999
mem,motor,0.7899999999999998
mixed,motor,0.905
mixed,mem,0.7849999999999999
motor,mixed,0.5999999999999999
motor,mem,0.6450000000000001
mem,mixed,0.5999999999999999
mem,motor,0.82
mixed,motor,0.95
mixed,mem,0.9800000000000001
motor,mixed,0.6500000000000001
motor,mem,0.825
mem,mixed,0.78
mem,motor,0.8950000000000001
mixed,motor,0.905
mixed,mem,1.0
motor,mixed,0.5799999999999998
motor,mem,0.7950000000000002
mem,mixed,0.76
mem,motor,0.8549999999999999
mixed,motor,0.7949999999999999
mixed,mem,0.925
motor,mixed,0.5499999999999999
motor,mem,0.675
mem,mixed,0.615
mem,motor,0.8799999999999999
mixed,motor,0.755
mixed,mem,0.8099999999999999
motor,mixed,0.5
motor,mem,0.5
mem,mixed,0.57
mem,motor,0.595
mixed,motor,0.8300000000000001
mixed,mem,0.9349999999999999
motor,mixed,0.5
motor,mem,0.655
mem,mixed,0.5199999999999999
mem,motor,0.7599999999999999
