,train_sub,test_sub,task,acc
0,MSC01,MSC02,mixed,0.77
1,MSC01,MSC02,motor,0.925
2,MSC01,MSC02,mem,0.635
3,MSC01,MSC03,mixed,0.565
4,MSC01,MSC03,motor,0.8700000000000001
5,MSC01,MSC03,mem,0.845
6,MSC01,MSC04,mixed,0.8550000000000001
7,MSC01,MSC04,motor,0.9799999999999999
8,MSC01,MSC04,mem,0.8150000000000001
9,MSC01,MSC05,mixed,0.875
10,MSC01,MSC05,motor,0.7699999999999998
11,MSC01,MSC05,mem,0.9799999999999999
12,MSC01,MSC06,mixed,0.635
13,MSC01,MSC06,motor,0.8700000000000001
14,MSC01,MSC06,mem,0.975
15,MSC01,MSC07,mixed,0.57
16,MSC01,MSC07,motor,0.675
17,MSC01,MSC07,mem,0.6399999999999999
18,MSC01,MSC10,mixed,0.495
19,MSC01,MSC10,motor,0.8950000000000001
20,MSC01,MSC10,mem,0.9949999999999999
21,MSC02,MSC01,mixed,0.8649999999999999
22,MSC02,MSC01,motor,0.9149999999999998
23,MSC02,MSC01,mem,0.9700000000000001
24,MSC02,MSC03,mixed,0.6000000000000001
25,MSC02,MSC03,motor,0.865
26,MSC02,MSC03,mem,0.9400000000000001
27,MSC02,MSC04,mixed,0.6100000000000001
28,MSC02,MSC04,motor,0.875
29,MSC02,MSC04,mem,0.9949999999999999
30,MSC02,MSC05,mixed,0.53
31,MSC02,MSC05,motor,0.865
32,MSC02,MSC05,mem,0.7899999999999999
33,MSC02,MSC06,mixed,0.5
34,MSC02,MSC06,motor,0.5
35,MSC02,MSC06,mem,0.89
36,MSC02,MSC07,mixed,0.595
37,MSC02,MSC07,motor,0.5449999999999999
38,MSC02,MSC07,mem,0.86
39,MSC02,MSC10,mixed,0.5
40,MSC02,MSC10,motor,0.665
41,MSC02,MSC10,mem,0.945
42,MSC03,MSC01,mixed,0.5
43,MSC03,MSC01,motor,0.5149999999999999
44,MSC03,MSC01,mem,0.6049999999999999
45,MSC03,MSC02,mixed,0.5499999999999999
46,MSC03,MSC02,motor,0.8650000000000002
47,MSC03,MSC02,mem,0.5499999999999999
48,MSC03,MSC04,mixed,0.6
49,MSC03,MSC04,motor,0.86
50,MSC03,MSC04,mem,0.825
51,MSC03,MSC05,mixed,0.5299999999999999
52,MSC03,MSC05,motor,0.825
53,MSC03,MSC05,mem,0.7999999999999999
54,MSC03,MSC06,mixed,0.5
55,MSC03,MSC06,motor,0.5
56,MSC03,MSC06,mem,0.72
57,MSC03,MSC07,mixed,0.5
58,MSC03,MSC07,motor,0.59
59,MSC03,MSC07,mem,0.7849999999999999
60,MSC03,MSC10,mixed,0.51
61,MSC03,MSC10,motor,0.5599999999999998
62,MSC03,MSC10,mem,0.9150000000000003
63,MSC04,MSC01,mixed,0.74
64,MSC04,MSC01,motor,0.8950000000000001
65,MSC04,MSC01,mem,0.66
66,MSC04,MSC02,mixed,0.52
67,MSC04,MSC02,motor,0.9400000000000001
68,MSC04,MSC02,mem,0.61
69,MSC04,MSC03,mixed,0.655
70,MSC04,MSC03,motor,0.85
71,MSC04,MSC03,mem,0.845
72,MSC04,MSC05,mixed,0.945
73,MSC04,MSC05,motor,0.9649999999999999
74,MSC04,MSC05,mem,0.9099999999999999
75,MSC04,MSC06,mixed,0.75
76,MSC04,MSC06,motor,0.9600000000000002
77,MSC04,MSC06,mem,0.8649999999999999
78,MSC04,MSC07,mixed,0.53
79,MSC04,MSC07,motor,0.7999999999999999
80,MSC04,MSC07,mem,0.74
81,MSC04,MSC10,mixed,0.585
82,MSC04,MSC10,motor,0.9549999999999998
83,MSC04,MSC10,mem,0.95
84,MSC05,MSC01,mixed,0.68
85,MSC05,MSC01,motor,0.59
86,MSC05,MSC01,mem,0.9899999999999999
87,MSC05,MSC02,mixed,0.6399999999999999
88,MSC05,MSC02,motor,0.7799999999999999
89,MSC05,MSC02,mem,0.51
90,MSC05,MSC03,mixed,0.655
91,MSC05,MSC03,motor,0.845
92,MSC05,MSC03,mem,0.865
93,MSC05,MSC04,mixed,0.8399999999999999
94,MSC05,MSC04,motor,0.835
95,MSC05,MSC04,mem,0.915
96,MSC05,MSC06,mixed,0.6699999999999999
97,MSC05,MSC06,motor,0.505
98,MSC05,MSC06,mem,0.9650000000000001
99,MSC05,MSC07,mixed,0.575
100,MSC05,MSC07,motor,0.6900000000000001
101,MSC05,MSC07,mem,0.515
102,MSC05,MSC10,mixed,0.6500000000000001
103,MSC05,MSC10,motor,0.605
104,MSC05,MSC10,mem,0.8099999999999999
105,MSC06,MSC01,mixed,0.575
106,MSC06,MSC01,motor,0.755
107,MSC06,MSC01,mem,0.975
108,MSC06,MSC02,mixed,0.6499999999999999
109,MSC06,MSC02,motor,0.65
110,MSC06,MSC02,mem,0.7249999999999999
111,MSC06,MSC03,mixed,0.5399999999999999
112,MSC06,MSC03,motor,0.68
113,MSC06,MSC03,mem,0.9
